row_label_raw,row_label_full,Số đầu năm,Năm nay > 1.580.297.059,Năm trước > 601.267.652,numeric__Năm nay > 1.580.297.059,numeric__Năm trước > 601.267.652
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,3.438.433.335,6.822.942.663,3438433335.0,6822942663.0
Chi quỹ,Chi quỹ,Chi quỹ,(5.018.730.394),(5.843.913.256),-5018730394.0,-5843913256.0
Số cuối năm,Số cuối năm,Số cuối năm,-,1.580.297.059,,1580297059.0
