row_label_raw,row_label_full,col_0,Lĩnh vực bán vế cầu đường,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế cầu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,231.157.519.254,1.405.462.919.900,4.056.035.933,162.234.846.463,12.113.274.894,4.784.699.097,,1.819.809.295.541,231157519254.0,1405462919900.0,4056035933.0,162234846463.0,12113274894.0,4784699097.0,,1819809295541.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phân,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phân,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phân,,,,,,,,,,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phân > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,231.157.519.254,1.405.462.919.900,4.056.035.933,162.234.846.463,12.113.274.894,4.784.699.097,,1.819.809.295.541,231157519254.0,1405462919900.0,4056035933.0,162234846463.0,12113274894.0,4784699097.0,,1819809295541.0
Kết quả kinh doanh theo bổ phân,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phân > Kết quả kinh doanh theo bổ phân,Kết quả kinh doanh theo bổ phân,156.235.646.898,(656.186.103),(1.310.665.883),10.105.436.307,(18.745.581.754),(10.994.691.573),,134.633.957.892,156235646898.0,-656186103.0,-1310665883.0,10105436307.0,-18745581754.0,-10994691573.0,,134633957892.0
Các chi phí không phân bổ theo bổ phân,Các chi phí không phân bổ theo bổ phân,Các chi phí không phân bổ theo bổ phân,,,,,,,,,,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bổ phân > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,134.633.957.892,,,,,,,,134633957892.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bổ phân > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,10.574.757.950,,,,,,,,10574757950.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,,,,,,
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,,,,4.412.321.069,,,,,,,,4412321069.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,,,,(1.502.421.286),,,,,,,,-1502421286.0
Chi phí thuế thu nhập doanh nghiệp liên hành,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp liên hành,Chi phí thuế thu nhập doanh nghiệp liên hành,,,,,,,,(28.216.349.700),,,,,,,,-28216349700.0
Chi phí thuế thu nhập doanh nghiệp hotán lại,Chi phí thuế thu nhập doanh nghiệp hotán lại,Chi phí thuế thu nhập doanh nghiệp hotán lại,,,,,,,,,,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hotán lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,119.902.265.925,,,,,,,,119902265925.0
Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hotán lại > Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cổ định và các tài sản dài hạn khác,42.100.835.856,61.698.945,178.057,7.122.008,,380.793.681,,42.550.628.548,42100835856.0,61698945.0,178057.0,7122008.0,,380793681.0,,42550628548.0
Tổng chi phí khẩu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hotán lại > Tổng chi phí khẩu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khẩu hao và phân bổ chi phí trả trước dài hạn,34.531.301.174,1.230.236.433,4.933.317.877,125.649.815,,5.163.200.955,,45.983.706.253,34531301174.0,1230236433.0,4933317877.0,125649815.0,,5163200955.0,,45983706253.0
