row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,1.885.991.762.140,594.618.329.573,1.0,,1885991762140.0,594618329573.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,VI.2,66.182.466.599,15.552.539.661,2.0,,66182466599.0,15552539661.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,1.819.809.295.541,579.065.789.912,10.0,,1819809295541.0,579065789912.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,VI.3,1.506.817.835.538,333.685.628.946,11.0,,1506817835538.0,333685628946.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,312.991.460.003,245.380.160.966,20.0,,312991460003.0,245380160966.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,VI.4,10.574.757.950,8.854.739.449,21.0,,10574757950.0,8854739449.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,VI.5,116.193.940.262,84.157.569.300,22.0,,116193940262.0,84157569300.0
Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,23,,77.628.899.984,71.090.537.415,23.0,,77628899984.0,71090537415.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,VI.6,24.407.006.715,29.077.914.421,25.0,,24407006715.0,29077914421.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,VI.7,37.756.555.134,20.978.008.205,26.0,,37756555134.0,20978008205.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,145.208.715.842,120.021.408.489,30.0,,145208715842.0,120021408489.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,VI.8,4.412.321.069,16.628.445.767,31.0,,4412321069.0,16628445767.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,VI.9,1.502.421.286,105.567.135,32.0,,1502421286.0,105567135.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,2.909.899.783,16.522.878.632,40.0,,2909899783.0,16522878632.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,148.118.615.625,136.544.287.121,50.0,,148118615625.0,136544287121.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,V.16,28.216.349.700,21.929.842.611,51.0,,28216349700.0,21929842611.0
16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,119.902.265.925,114.614.444.510,60.0,,119902265925.0,114614444510.0
18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,70,VI.10,-,-,70.0,,,
19. Lãi suy giảm trên cổ phiếu,19. Lãi suy giảm trên cổ phiếu,19. Lãi suy giảm trên cổ phiếu,71,VI.10,-,-,71.0,,,
