row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,400,,2.960.182.841.116,2.953.396.818.526,,400.0,,2960182841116.0,2953396818526.0
I.,I.,I.,Vốn chủ sở hữu,410,,2.960.182.841.116,2.953.396.818.526,,410.0,,2960182841116.0,2953396818526.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,V.23,2.741.945.250.000,2.741.945.250.000,,411.0,,2741945250000.0,2741945250000.0
-,-,-,Cổ phiếu phổ thông cỏ quyền biểu quyết,411a,,2.741.945.250.000,2.741.945.250.000,,,,2741945250000.0,2741945250000.0
-,-,-,Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,- > 2.,2.,Thặng dư vốn cổ phần,412,V.23,10.420.226.000,10.420.226.000,,412.0,,10420226000.0,10420226000.0
3.,- > 3.,3.,Quyền chọn chuyển đối trái phiếu,413,,-,-,,413.0,,,
4.,- > 4.,4.,Vốn khác của chủ sở hữu,414,,-,-,,414.0,,,
5.,- > 5.,5.,Cổ phiếu quỹ,415,,-,-,,415.0,,,
6.,- > 6.,6.,Chênh lệch đánh giá lại tài sản,416,,-,-,,416.0,,,
7.,- > 7.,7.,Chênh lệch tỷ giả hối đoái,417,,-,-,,417.0,,,
8.,- > 8.,8.,Quỹ đầu tư phát triển,418,V.23,81.606.382.163,81.606.382.163,,418.0,,81606382163.0,81606382163.0
9.,- > 9.,9.,Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,-,-,,419.0,,,
10.,- > 10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,-,-,,420.0,,,
11.,- > 11.,11.,Lợi nhuận sau thuế chưa phân phối,421,V.23,126.210.982.953,119.424.960.363,,421.0,,126210982953.0,119424960363.0
-,- > -,-,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối kỳ trước,421a,,6.308.717.028,119.424.960.363,,,,6308717028.0,119424960363.0
-,- > -,-,Lợi nhuận sau thuế chưa phân phối kỳ này,421b,,119.902.265.925,-,,,,119902265925.0,
12.,- > 12.,12.,Nguồn vốn đầu tư xây dựng cơ bản,422,,-,-,,422.0,,,
II.,- > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
1.,- > 1.,1.,Nguồn kinh phí,431,,-,-,,431.0,,,
2.,- > 2.,2.,Nguồn kinh phí đã hình thành tài sản cổ định,432,,-,-,,432.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,9.096.199.347.337,7.295.006.993.768,,440.0,,9096199347337.0,7295006993768.0
