row_label_raw,row_label_full,col_0,31/12/2022 (VND) > Giá trị,31/12/2022 (VND) > Số có khả năng trả nợ,Trong năm (VND) > Tăng,Trong năm (VND) > Giảm,01/01/2022 (VND) > Giá trị,01/01/2022 (VND) > Số có khả năng trả nợ,numeric__31/12/2022 (VND) > Giá trị,numeric__31/12/2022 (VND) > Số có khả năng trả nợ,numeric__Trong năm (VND) > Tăng,numeric__Trong năm (VND) > Giảm,numeric__01/01/2022 (VND) > Giá trị,numeric__01/01/2022 (VND) > Số có khả năng trả nợ
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,,,,,,
Ngân hàng TMCP An Bình (VND),Nợ dài hạn đến hạn trả > Ngân hàng TMCP An Bình (VND),Ngân hàng TMCP An Bình (VND),-,-,-,179.958.909,179.958.909,179.958.909,,,,179958909.0,179958909.0,179958909.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Phú Quốc,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Phú Quốc,2.548.000.000,2.548.000.000,3.248.000.000,2.606.267.000,1.906.267.000,1.906.267.000,2548000000.0,2548000000.0,3248000000.0,2606267000.0,1906267000.0,1906267000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909.900.000,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0,909900000.0
Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang (12),Nợ dài hạn đến hạn trả > Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang (12),Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang (12),860.000.000,860.000.000,860.000.000,860.000.000,860.000.000,860.000.000,860000000.0,860000000.0,860000000.0,860000000.0,860000000.0,860000000.0
Vay dài hạn,Nợ dài hạn đến hạn trả > Vay dài hạn,Vay dài hạn,7.215.541.941,7.215.541.941,6.013.841.941,5.017.900.000,6.219.600.000,6.219.600.000,7215541941.0,7215541941.0,6013841941.0,5017900000.0,6219600000.0,6219600000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,2.729.700.000,2.729.700.000,-,909.900.000,3639600000,3.639.600.000,2729700000.0,2729700000.0,,909900000.0,3639600000.0,3639600000.0
Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang (12),Nợ dài hạn đến hạn trả > Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang (12),Quỹ Phát Triển Khoa Học và Công Nghệ tỉnh Tiền Giang (12),1.720.000.000,1.720.000.000,-,860.000.000,2.580.000.000,2.580.000.000,1720000000.0,1720000000.0,,860000000.0,2580000000.0,2580000000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Phú Quốc,Nợ dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Phú Quốc,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Phú Quốc,2.765.841.941,2.765.841.941,6.013.841.941,3.248.000.000,-,-,2765841941.0,2765841941.0,6013841941.0,3248000000.0,,
Tổng,Nợ dài hạn đến hạn trả > Tổng,Tổng,2.560.311.146.779,2.560.311.146.779,8.375.718.019.469,7.720.353.016.417,1.904.946.143.727,1.904.946.143.727,2560311146779.0,2560311146779.0,8375718019469.0,7720353016417.0,1904946143727.0,1904946143727.0
