row_label_raw,row_label_full,col_0,31/12/2022 (VND) > Giá trị ghi sổ,31/12/2022 (VND) > Dự phòng,01/01/2022 (VND) > Giá trị ghi sổ,01/01/2022 (VND) > Dự phòng,numeric__31/12/2022 (VND) > Giá trị ghi sổ,numeric__31/12/2022 (VND) > Dự phòng,numeric__01/01/2022 (VND) > Giá trị ghi sổ,numeric__01/01/2022 (VND) > Dự phòng
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,135.819.430.127,(66.265.401.595),132.411.798.491,(64.495.735.549),135819430127.0,-66265401595.0,132411798491.0,-64495735549.0
Tạm ứng,Tạm ứng,Tạm ứng,4.757.583.065,-,17.682.551.662,-,4757583065.0,,17682551662.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",340.765.384,-,-,-,340765384.0,,,
Phải thu cổ phần hóa,Phải thu cổ phần hóa,Phải thu cổ phần hóa,4.544.857.219,-,3.917.686.259,-,4544857219.0,,3917686259.0,
Phải thu khác,Phải thu khác,Phải thu khác,126.176.224.459,(66.265.401.595),110.811.560.570,(64.495.735.549),126176224459.0,-66265401595.0,110811560570.0,-64495735549.0
Phải thu Công ty cổ phần Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ bào lãnh,Phải thu Công ty cổ phần Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ bào lãnh,Phải thu Công ty cổ phần Lương thực Hậu Giang về việc Tổng Công ty thực hiện nghĩa vụ bào lãnh,28.000.000.000,(28.000.000.000),28.000.000.000,(28.000.000.000),28000000000.0,-28000000000.0,28000000000.0,-28000000000.0
Công ty cổ phần Lương thực Hậu Giang thực hiện thu lãi,Công ty cổ phần Lương thực Hậu Giang thực hiện thu lãi,Công ty cổ phần Lương thực Hậu Giang thực hiện thu lãi,2.189.114.872,(2.189.114.872),2.189.114.872,(2.189.114.872),2189114872.0,-2189114872.0,2189114872.0,-2189114872.0
Kho bạc nhà nước Thành phố Hồ Chí Minh (*),Kho bạc nhà nước Thành phố Hồ Chí Minh (*),Kho bạc nhà nước Thành phố Hồ Chí Minh (*),27.877.394.336,-,27.877.394.336,-,27877394336.0,,27877394336.0,
Phải thu Bộ Tài chính gạo viện trợ Philippines,Phải thu Bộ Tài chính gạo viện trợ Philippines,Phải thu Bộ Tài chính gạo viện trợ Philippines,2.041.037.047,-,2.041.037.047,-,2041037047.0,,2041037047.0,
Phải thu Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài tiền bồi thường hàng gửi kho,Phải thu Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài tiền bồi thường hàng gửi kho,Phải thu Công ty TNHH Thương mại Xuất nhập khẩu Hiệp Tài tiền bồi thường hàng gửi kho,9.017.732.212,(9.017.732.212),9.017.732.212,(9.017.732.212),9017732212.0,-9017732212.0,9017732212.0,-9017732212.0
Công ty cổ phần Lương thực Đà Nẵng - tiền lãi ứng vốn,Công ty cổ phần Lương thực Đà Nẵng - tiền lãi ứng vốn,Công ty cổ phần Lương thực Đà Nẵng - tiền lãi ứng vốn,1.629.041.396,(1.629.041.396),1.629.041.396,(1.629.041.396),1629041396.0,-1629041396.0,1629041396.0,-1629041396.0
Phải thu Công ty TNHH Thương mại và Dịch vụ Hải Gia tiền thuế GTGT mua hàng,Phải thu Công ty TNHH Thương mại và Dịch vụ Hải Gia tiền thuế GTGT mua hàng,Phải thu Công ty TNHH Thương mại và Dịch vụ Hải Gia tiền thuế GTGT mua hàng,1.321.775.227,-,1.321.775.227,-,1321775227.0,,1321775227.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,54.100.129.369,(25.429.513.115),38.735.465.480,(23.659.847.069),54100129369.0,-25429513115.0,38735465480.0,-23659847069.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,509.466.534,-,513.666.534,-,509466534.0,,513666534.0,
Phải thu cổ phần hóa,Phải thu cổ phần hóa,Phải thu cổ phần hóa,147.566.534,-,108.566.534,-,147566534.0,,108566534.0,
"Ký quỹ, ký cược dài han","Ký quỹ, ký cược dài han","Ký quỹ, ký cược dài han",361.900.000,-,359.600.000,-,361900000.0,,359600000.0,
Phải thu khác,Phải thu khác,Phải thu khác,-,-,45.500.000,-,,,45500000.0,
Tổng,Tổng,Tổng,136.328.896.661,(66.265.401.595),132.925.465.025,(64.495.735.549),136328896661.0,-66265401595.0,132925465025.0,-64495735549.0
