row_label_raw,row_label_full,col_0,CHỈ TIÊU,MS TM,Năm 2022VND,Năm 2021VND,numeric__CHỈ TIÊU,numeric__MS TM,numeric__Năm 2022VND,numeric__Năm 2021VND
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,47.605.924.015,(298.535.935.957),,1.0,47605924015.0,-298535935957.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,
,,,- Khấu hao tài sản cố định và BĐS đầu tư,02,153.366.716.854,308.483.081.796,,2.0,153366716854.0,308483081796.0
,,,- Các khoản dự phòng,03,(79.965.709.182),57.861.297.042,,3.0,-79965709182.0,57861297042.0
,,,"- Lãi, lỗ chênh lệch tỷ giá hối đoái chưa thực hiện",04,4.239.254.890,6.762.856.962,,4.0,4239254890.0,6762856962.0
,,,"- Lãi, lỗ từ hoạt động đầu tư",05,(69.705.008.136),(37.628.780.993),,5.0,-69705008136.0,-37628780993.0
,,,- Chi phí lãi vay,06,128.535.434.290,117.195.331.878,,6.0,128535434290.0,117195331878.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,184.076.612.731,154.137.850.728,,8.0,184076612731.0,154137850728.0
,,,"- Tăng, giảm các khoản phải thu",09,(1.206.017.131.906),(228.569.399.361),,9.0,-1206017131906.0,-228569399361.0
,,,"- Tăng, giảm hàng tồn kho",10,244.838.111.033,(58.981.851.419),,10.0,244838111033.0,-58981851419.0
,,,"- Tăng, giảm các khoản phải trả",11,1.374.401.843.075,(337.703.468.062),,11.0,1374401843075.0,-337703468062.0
,,,"- Tăng, giảm chi phí trả trước",12,1.901.667.715,25.631.554.748,,12.0,1901667715.0,25631554748.0
,,,- Tiền lãi vay đã trả,14,(120.479.541.206),(104.588.408.329),,14.0,-120479541206.0,-104588408329.0
,,,- Thuế thu nhập doanh nghiệp đã nộp,15,(19.168.004.581),(23.330.603.744),,15.0,-19168004581.0,-23330603744.0
,,,- Tiền chi khác từ hoạt động kinh doanh,17,(22.079.310.490),(1.484.095.268),,17.0,-22079310490.0,-1484095268.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,437.474.246.371,(574.888.420.707),,20.0,437474246371.0,-574888420707.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động đầu tư,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(28.046.733.749),(24.901.318.883),,21.0,-28046733749.0,-24901318883.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,8.460.356.857,4.980.572.163,,22.0,8460356857.0,4980572163.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(177.500.000.000),(104.500.000.000),,23.0,-177500000000.0,-104500000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,218.500.000.000,44.000.000.000,,24.0,218500000000.0,44000000000.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,117.052.633.381,,,26.0,117052633381.0,
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,13.182.779.479,8.911.263.192,,27.0,13182779479.0,8911263192.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,151.649.035.968,(71.509.483.528),,30.0,151649035968.0,-71509483528.0
