row_label_raw,row_label_full,31/12/2022 (VND),31/12/2022 (VND)_1,.01/01/2022 (VND),.01/01/2022 (VND)_1,numeric__31/12/2022 (VND)_1,numeric__.01/01/2022 (VND),numeric__.01/01/2022 (VND)_1
Giá gốc,Giá gốc,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,
17.593.939.881,Giá gốc > 17.593.939.881,17.593.939.881,-,11.549.537.394,-,,11549537394.0,
467.256.874.807,Giá gốc > 467.256.874.807,467.256.874.807,(13.097.924.890),448.723.119.490,(32.998.694.984),-13097924890.0,448723119490.0,-32998694984.0
12.234.099.529,Giá gốc > 12.234.099.529,12.234.099.529,-,16.742.124.290,,,16742124290.0,
7.789.120.979,Giá gốc > 7.789.120.979,7.789.120.979,-,12.372.403.978,-,,12372403978.0,
400.235.595.477,Giá gốc > 400.235.595.477,400.235.595.477,(6.356.616.193),455.515.589.080,(39.226.390.607),-6356616193.0,455515589080.0,-39226390607.0
194.692.135.120,Giá gốc > 194.692.135.120,194.692.135.120,(7.369.516.812),350.280.095.214,(35.930.248.139),-7369516812.0,350280095214.0,-35930248139.0
17.896.664.765,Giá gốc > 17.896.664.765,17.896.664.765,-,67.250.270.687,-,,67250270687.0,
54.361.712.371,Giá gốc > 54.361.712.371,54.361.712.371,-,54.361.712.371,-,,54361712371.0,
1.172.060.142.929,Giá gốc > 1.172.060.142.929,1.172.060.142.929,(26.824.057.895),1.416.794.852.504,(108.155.333.730),-26824057895.0,1416794852504.0,-108155333730.0
