row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐ hữuhình khác,Đơn vị tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐ hữuhình khác,numeric__Đơn vị tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2022,NGUYÊN GIÁ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,3.391.064.308.145,2.386.543.882.955,302.280.613.389,59.514.741.980,36.657.998.062,6.176.061.544.531,3391064308145.0,2386543882955.0,302280613389.0,59514741980.0,36657998062.0,6176061544531.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,4.266.968.100,10.070.605.650,2.481.718.429,432.215.992,-,17.251.508.171,4266968100.0,10070605650.0,2481718429.0,432215992.0,,17251508171.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,3.555.147.658,9.250.670.100,2.481.718.429,272.100.000,-,15.559.636.187,3555147658.0,9250670100.0,2481718429.0,272100000.0,,15559636187.0
Mua lại tài sản thuê tài chính,Mua lại tài sản thuê tài chính,Mua lại tài sản thuê tài chính,-,-,-,-,-,-,,,,,,
Đầu tư XDCB hoàn thành,Mua lại tài sản thuê tài chính > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,711.820.442,819.935.550,-,160.115.992,-,1.691.871.984,711820442.0,819935550.0,,160115992.0,,1691871984.0
Giảm trong năm,Mua lại tài sản thuê tài chính > Giảm trong năm,Giảm trong năm,9.730.473.589,41.459.060.095,13.516.264.497,918.656.023,-,65.624.454.204,9730473589.0,41459060095.0,13516264497.0,918656023.0,,65624454204.0
"Thanh lý, nhượng bán","Mua lại tài sản thuê tài chính > Thanh lý, nhượng bán","Thanh lý, nhượng bán",9.730.473.589,41.459.060.095,13.516.264.497,918.656.023,-,65.624.454.204,9730473589.0,41459060095.0,13516264497.0,918656023.0,,65624454204.0
Số dư tại 31/12/2022,Mua lại tài sản thuê tài chính > Số dư tại 31/12/2022,Số dư tại 31/12/2022,3.385.600.802.656,2.355.155.428.510,291.246.067.321,59.028.301.949,36.657.998.062,6.127.688.598.498,3385600802656.0,2355155428510.0,291246067321.0,59028301949.0,36657998062.0,6127688598498.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2022,Số dư tại 01/01/2022,2.121.269.925.413,1.712.412.737.002,247.804.126.348,53.013.479.028,31.903.165.020,4.166.403.432.811,2121269925413.0,1712412737002.0,247804126348.0,53013479028.0,31903165020.0,4166403432811.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,70.141.524.252,64.016.859.286,13.154.739.456,1.307.079.762,418.853.969,149.039.056.725,70141524252.0,64016859286.0,13154739456.0,1307079762.0,418853969.0,149039056725.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,70.141.524.252,64.016.859.286,13.154.739.456,1.307.079.762,418.853.969,149.039.056.725,70141524252.0,64016859286.0,13154739456.0,1307079762.0,418853969.0,149039056725.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,9.263.454.790,40.659.401.930,12.531.130.086,918.656.023,-,63.372.642.829,9263454790.0,40659401930.0,12531130086.0,918656023.0,,63372642829.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",9.263.454.790,40.659.401.930,12.531.130.086,918.656.023,-,63.372.642.829,9263454790.0,40659401930.0,12531130086.0,918656023.0,,63372642829.0
Số dư tại 31/12/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2022,Số dư tại 31/12/2022,2.182.147.994.875,1.735.770.194.358,248.427.735.718,53.401.902.767,32.322.018.989,4.252.069.846.707,2182147994875.0,1735770194358.0,248427735718.0,53401902767.0,32322018989.0,4252069846707.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2022,GIÁ TRỊ CÒN LẠI > Tại 01/01/2022,Tại 01/01/2022,1.269.794.382.732,674.131.145.953,54.476.487.041,6.501.262.952,4.754.833.042,2.009.658.111.720,1269794382732.0,674131145953.0,54476487041.0,6501262952.0,4754833042.0,2009658111720.0
Tại 31/12/2022,GIÁ TRỊ CÒN LẠI > Tại 31/12/2022,Tại 31/12/2022,1.203.452.807.781,619.385.234.152,42.818.331.603,5.626.399.182,4.335.979.073,1.875.618.751.791,1203452807781.0,619385234152.0,42818331603.0,5626399182.0,4335979073.0,1875618751791.0
