row_label_raw,row_label_full,Chin iteu,EUR duwic guy geri,USD duwic guy geri,Cac ngoi ti te khac duwic guy geri,Tong,numeric__EUR duwic guy geri,numeric__USD duwic guy geri,numeric__Cac ngoi ti te khac duwic guy geri,numeric__Tong
Tian san,Tian san,Tian san,,,,,,,,
"Tian mig, vang bac, da guy","Tian san > Tian mig, vang bac, da guy","Tian mig, vang bac, da guy",6.795,23.103,1.824,31.722,6795.0,23103.0,1824.0,31722.0
Tien got tai ngain hange Nha nuoc,Tian san > Tien got tai ngain hange Nha nuoc,Tien got tai ngain hange Nha nuoc,-,55.331,-,55.331,,55331.0,,55331.0
"Tien, vang geri tai va cho vay csc TCITD khac (*)","Tian san > Tien, vang geri tai va cho vay csc TCITD khac (*)","Tien, vang geri tai va cho vay csc TCITD khac (*)",11.033,995.519,111.347,1.117.899,11033.0,995519.0,111347.0,1117899.0
Ching khaoan kinh doanh (*),Ching khaoan kinh doanh (*),Ching khaoan kinh doanh (*),-,-,-,-,,,,
Cac cacing cui tai chinh phai sinh va cac tai san tai chinh khac (*),Cac cacing cui tai chinh phai sinh va cac tai san tai chinh khac (*),Cac cacing cui tai chinh phai sinh va cac tai san tai chinh khac (*),-,-,-,-,,,,
Cho vay khach hange (*),Cac cacing cui tai chinh phai sinh va cac tai san tai chinh khac (*) > Cho vay khach hange (*),Cho vay khach hange (*),-,777.165,-,777.165,,777165.0,,777165.0
Ching khoan dau tu (*),Ching khoan dau tu (*),Ching khoan dau tu (*),-,-,-,-,,,,
"Gop vun, dau tu dai han (*)","Gop vun, dau tu dai han (*)","Gop vun, dau tu dai han (*)",-,-,-,-,,,,
Tai san co dinh va Bat dong san dau tu,Tai san co dinh va Bat dong san dau tu,Tai san co dinh va Bat dong san dau tu,-,,-,-,,,,
Tian giri cua khach hanging,Tai san co dinh va Bat dong san dau tu > Tian giri cua khach hanging,Tian giri cua khach hanging,16.705,670.325,4.183,691.213,16705.0,670325.0,4183.0,691213.0
Cac coring cui tai chinh phai sinh va cac tai san tai chinh khac (*),Tai san co dinh va Bat dong san dau tu > Cac coring cui tai chinh phai sinh va cac tai san tai chinh khac (*),Cac coring cui tai chinh phai sinh va cac tai san tai chinh khac (*),-,746.666,-,746.666,,746666.0,,746666.0
"Von tai troy, yy thacc dau tu, cho vay TCITD chiu rui ro","Von tai troy, yy thacc dau tu, cho vay TCITD chiu rui ro","Von tai troy, yy thacc dau tu, cho vay TCITD chiu rui ro",-,-,-,-,,,,
Phat hanch giagy to co geria,Phat hanch giagy to co geria,Phat hanch giagy to co geria,-,-,-,-,,,,
Cac khoan ny khac,Phat hanch giagy to co geria > Cac khoan ny khac,Cac khoan ny khac,1.123,326.068,108.988,436.179,1123.0,326068.0,108988.0,436179.0
Von va cac guy,Von va cac guy,Von va cac guy,-,-,-,-,,,,
Tong Ny phai tera va Vun chu st hru,Von va cac guy > Tong Ny phai tera va Vun chu st hru,Tong Ny phai tera va Vun chu st hru,17.828,1.852.509,113.171,1.983.508,17828.0,1852509.0,113171.0,1983508.0
"Tiang thati tien te ngti, ngcai banging","Tiang thati tien te ngti, ngcai banging","Tiang thati tien te ngti, ngcai banging",-,-,-,-,,,,
"Tiang thati tien te ngti, ngcai banging","Tiang thati tien te ngti, ngcai banging","Tiang thati tien te ngti, ngcai banging",-,-,-,-,,,,
