row_label_raw,row_label_full,- Phân tích giá trị đầu tư theo loại hình đầu tư,31/12/2016 > - Phân tích giá trị đầu tư theo loại hình đầu tư,31/12/2015 > - Phân tích giá trị đầu tư theo loại hình đầu tư,numeric__31/12/2016 > - Phân tích giá trị đầu tư theo loại hình đầu tư,numeric__31/12/2015 > - Phân tích giá trị đầu tư theo loại hình đầu tư
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,125.655,118.276,125655.0,118276.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(1.824),(940),-1824.0,-940.0
Tổng cộng,Tổng cộng,Tổng cộng,123.831,117.336,123831.0,117336.0
