row_label_raw,row_label_full,Bà Trần Thị Việt Ánh,Tổng Giám đốc,numeric__Tổng Giám đốc
Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Phó Tổng giám đốc,
Bà Phạm Thị Cúc,Bà Phạm Thị Cúc,Bà Phạm Thị Cúc,Phó Tổng giám đốc,
Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Ông Nguyễn Ngọc Lũy,Phó Tổng giám đốc,
Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Ông Nguyễn Minh Trí,Phó Tổng giám đốc,
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Phó Tổng giám đốc,
Bà Đỗ Thị Loan Anh,Bà Đỗ Thị Loan Anh,Bà Đỗ Thị Loan Anh,Kế toán trường,
