row_label_raw,row_label_full,Chl tenu,Young shihunting ky han,Trong han,Trong han_1,Trong han_2,Trong han_3,Trong han_4,Tren 5 arm,190.900,numeric__Young shihunting ky han,numeric__Trong han,numeric__Trong han_1,numeric__Trong han_2,numeric__Trong han_3,numeric__Trong han_4,numeric__Tren 5 arm,numeric__190.900
Chl tenu,Chl tenu,Chl tenu,Young shihunting ky han,Dex 1 thang,TLr 1 - 3 thang,TLr 3 - 12 thang,TLr 1 - 5 arm,Tren 5 arm,Tren 5 arm,190.900,,,,,,,,190900.0
"Tlen mat, vang bac, da guy","Tlen mat, vang bac, da guy","Tlen mat, vang bac, da guy",190.900,-,-,-,-,-,-,190.900,190900.0,,,,,,,190900.0
Tlen gxt tai negen häng Nha nuctc,Tlen gxt tai negen häng Nha nuctc,Tlen gxt tai negen häng Nha nuctc,-,477.364,-,-,-,-,-,477.364,,477364.0,,,,,,477364.0
"Tlen, vang gzt tai ya cho vay cac TCITD Khaic (*)","Tlen, vang gzt tai ya cho vay cac TCITD Khaic (*)","Tlen, vang gzt tai ya cho vay cac TCITD Khaic (*)",-,1.370.657,-,-,-,-,-,1.370.657,,1370657.0,,,,,,1370657.0
Ching khoan kinh doorah (*),Ching khoan kinh doorah (*),Ching khoan kinh doorah (*),-,-,-,-,-,-,-,-,,,,,,,,
Cac cang cu tai chinh phti slnh va csc tai sai chih khac (*),Ching khoan kinh doorah (*) > Cac cang cu tai chinh phti slnh va csc tai sai chih khac (*),Cac cang cu tai chinh phti slnh va csc tai sai chih khac (*),-,3.068,-,-,-,-,-,3.068,,3068.0,,,,,,3068.0
Cho vay khaech häng (*),Ching khoan kinh doorah (*) > Cho vay khaech häng (*),Cho vay khaech häng (*),-,1.022.994,1.487.065,6.080.919,1.861.329,1.159.711,11.612.018,,,1022994.0,1487065.0,6080919.0,1861329.0,1159711.0,11612018.0,
Ching khoan dau tu (*),Ching khoan kinh doorah (*) > Ching khoan dau tu (*),Ching khoan dau tu (*),-,50.000,262.910,2.459.822,-,-,2.772.732,,,50000.0,262910.0,2459822.0,,,2772732.0,
"Gop vohn, dau tu dai han (*)","Ching khoan kinh doorah (*) > Gop vohn, dau tu dai han (*)","Gop vohn, dau tu dai han (*)",-,-,-,-,-,118.276,118.276,,,,,,,118276.0,118276.0,
Tal san cc dinh va Bal dong san dau tu,Ching khoan kinh doorah (*) > Tal san cc dinh va Bal dong san dau tu,Tal san cc dinh va Bal dong san dau tu,-,-,-,-,-,-,947.836,947.836,,,,,,,947836.0,947836.0
Tal san cc dinh va Bal dong san dau tu,Tal san cc dinh va Bal dong san dau tu,Tal san cc dinh va Bal dong san dau tu,-,-,-,-,-,-,-,-,,,,,,,,
Tlen gwt cui va yav ty NHNN va csc TCITD Khaic,Tal san cc dinh va Bal dong san dau tu > Tlen gwt cui va yav ty NHNN va csc TCITD Khaic,Tlen gwt cui va yav ty NHNN va csc TCITD Khaic,-,880.101,65.670,-,-,-,-,945.771,,880101.0,65670.0,,,,,945771.0
Tlen gwt cui va yav ty NHNN va csc TCITD Khaic,Tal san cc dinh va Bal dong san dau tu > Tlen gwt cui va yav ty NHNN va csc TCITD Khaic,Tlen gwt cui va yav ty NHNN va csc TCITD Khaic,-,5311.217,2.911.680,3.435.719,1.483.143,,13.141.759,,,5311217.0,2911680.0,3435719.0,1483143.0,,13141759.0,
Cac cang cu tai chinh phti slnh va csc khoan ny tai chih khac,Cac cang cu tai chinh phti slnh va csc khoan ny tai chih khac,Cac cang cu tai chinh phti slnh va csc khoan ny tai chih khac,-,-,-,-,-,-,-,-,,,,,,,,
"Vohn tai troy, uy theac dau tu, cho vay TCITD chilu rui","Vohn tai troy, uy theac dau tu, cho vay TCITD chilu rui","Vohn tai troy, uy theac dau tu, cho vay TCITD chilu rui",-,-,-,-,-,-,-,-,,,,,,,,
Phat handh gigy to co gita,Phat handh gigy to co gita,Phat handh gigy to co gita,-,-,-,-,-,-,-,-,,,,,,,,
Cac khoan ny khac,Phat handh gigy to co gita > Cac khoan ny khac,Cac khoan ny khac,-,270.271,-,-,-,-,-,270.271,,270271.0,,,,,,270271.0
Tong Ng phaí tera,Phat handh gigy to co gita > Tong Ng phaí tera,Tong Ng phaí tera,-,6.461.589,2.977.350,3.435.719,1.483.143,-,-,14.357.801,,6461589.0,2977350.0,3435719.0,1483143.0,,,14357801.0
Mirc chenh thanh khoan tóng,Phat handh gigy to co gita > Mirc chenh thanh khoan tóng,Mirc chenh thanh khoan tóng,784.180,(3.587.506),(1.440.285),2.908.110,2.838.008,2.225.823,3.728.330,,784180.0,-3587506.0,-1440285.0,2908110.0,2838008.0,2225823.0,3728330.0,
