row_label_raw,row_label_full,CHI TIFU,Yon gap chi,Yon gap chi_1,Thing dar,Thing dar_1,Chenh Iech,Chenh Iech_1,Ouy dur ter bo,Ouy dur ter bo_1,Ouy dau tur sung vcn dite le,Ouy dau tur sung vcn dite le_1,Lot nhuan cha u phan phti,Tong,numeric__Yon gap chi,numeric__Yon gap chi_1,numeric__Thing dar,numeric__Thing dar_1,numeric__Chenh Iech,numeric__Chenh Iech_1,numeric__Ouy dur ter bo,numeric__Ouy dur ter bo_1,numeric__Ouy dau tur sung vcn dite le,numeric__Ouy dau tur sung vcn dite le_1,numeric__Lot nhuan cha u phan phti,numeric__Tong
CHI TIFU,CHI TIFU,CHI TIFU,so hnu,y cna,ty gia bi,ty gia bi,sung vcn dite le,sung vcn dite le,pat trien,tal chih,cha u phan phti,,Lot nhuan cha u phan phti,Tong,,,,,,,,,,,,
23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,23. Von guy cia To chic the dunge,,,,,,,,,,,,
6 dr tai negay 01/01/2015,23. Von guy cia To chic the dunge > 6 dr tai negay 01/01/2015,6 dr tai negay 01/01/2015,3.080.000,716,-,30.018,8.817,179.715,186.564,3.485.830,,,,,3080000.0,716.0,,30018.0,8817.0,179715.0,186564.0,3485830.0,,,,
Lof nhuan sau thue nam 2015,23. Von guy cia To chic the dunge > Lof nhuan sau thue nam 2015,Lof nhuan sau thue nam 2015,-,-,-,-,-,-,(92.400),(92.400),,,,,,,,,,,-92400.0,-92400.0,,,,
Chl co，则 to lof nhuan nam 2014,23. Von guy cia To chic the dunge > Chl co，则 to lof nhuan nam 2014,Chl co，则 to lof nhuan nam 2014,-,-,-,-,-,-,(92.400),(92.400),,,,,,,,,,,-92400.0,-92400.0,,,,
Trich lap cie guy ti lof nhuan nam 2014,23. Von guy cia To chic the dunge > Trich lap cie guy ti lof nhuan nam 2014,Trich lap cie guy ti lof nhuan nam 2014,-,-,9.044,-,18.088,(27.132),-,,,,,,,,9044.0,,18088.0,-27132.0,,,,,,
"Trich guy khen thuong, phuc lot for lot nhuan nam 2014","23. Von guy cia To chic the dunge > Trich guy khen thuong, phuc lot for lot nhuan nam 2014","Trich guy khen thuong, phuc lot for lot nhuan nam 2014",-,-,-,-,-,-,(45.600),(45.600),,,,,,,,,,,-45600.0,-45600.0,,,,
6 dr tai negay 31/12/2015,23. Von guy cia To chic the dunge > 6 dr tai negay 31/12/2015,6 dr tai negay 31/12/2015,3.080.000,716,-,39.062,8.817,197.803,64.546,3.390.944,,,,,3080000.0,716.0,,39062.0,8817.0,197803.0,64546.0,3390944.0,,,,
Lof nhuan sau thue nam 2016,23. Von guy cia To chic the dunge > Lof nhuan sau thue nam 2016,Lof nhuan sau thue nam 2016,-,-,-,-,-,-,139.400,139.400,,,,,,,,,,,139400.0,139400.0,,,,
Chl co，则 to lof nhuan nam 2015,23. Von guy cia To chic the dunge > Chl co，则 to lof nhuan nam 2015,Chl co，则 to lof nhuan nam 2015,-,-,-,-,-,-,(15.499),(15.499),,,,,,,,,,,-15499.0,-15499.0,,,,
Trich lap cac guy ti lof nhuan nam 2015,23. Von guy cia To chic the dunge > Trich lap cac guy ti lof nhuan nam 2015,Trich lap cac guy ti lof nhuan nam 2015,-,-,2.157,-,4.311,(6.468),-,,,,,,,,2157.0,,4311.0,-6468.0,,,,,,
Chenh Iech ty gia hol dcai,23. Von guy cia To chic the dunge > Chenh Iech ty gia hol dcai,Chenh Iech ty gia hol dcai,-,-,0,-,-,-,-,-,,,,,,,0.0,,,,,,,,,
So dar tai negay 31/12/2016,23. Von guy cia To chic the dunge > So dar tai negay 31/12/2016,So dar tai negay 31/12/2016,3.080.000,716,0,41.219,8.817,202.114,181.979,3.514.845,,,,,3080000.0,716.0,0.0,41219.0,8817.0,202114.0,181979.0,3514845.0,,,,
