row_label_raw,row_label_full,Chin lieu,Qua han,Kheong chiu lai,Dein 1 thang,Tvt 1 dgn 3 thang,Tvt 3 deh 6 thang,Tvt 6 deh 12 thang,Tvt 1 dgn 5 nbm,Tren 5 nam,Tong,numeric__Qua han,numeric__Kheong chiu lai,numeric__Dein 1 thang,numeric__Tvt 1 dgn 3 thang,numeric__Tvt 3 deh 6 thang,numeric__Tvt 6 deh 12 thang,numeric__Tvt 1 dgn 5 nbm,numeric__Tren 5 nam,numeric__Tong
"Titin mat, vang bac, da guy","Titin mat, vang bac, da guy","Titin mat, vang bac, da guy",-,200.381,,-,-,-,-,-,200.381,,200381.0,,,,,,,200381.0
Titin goti tai negan hang Nha nucic,Titin goti tai negan hang Nha nucic,Titin goti tai negan hang Nha nucic,-,-,473.922,-,-,-,-,-,473.922,,,473922.0,,,,,,473922.0
Titin vang gofi tai va cho vay cac TCITD Khaic (*),Titin vang gofi tai va cho vay cac TCITD Khaic (*),Titin vang gofi tai va cho vay cac TCITD Khaic (*),-,-,1.882.911,,,,-,-,1.882.911,,,1882911.0,,,,,,1882911.0
Ching khoan kinh doanh (*),Ching khoan kinh doanh (*),Ching khoan kinh doanh (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Cho vay khach hang (*),Ching khoan kinh doanh (*) > Cho vay khach hang (*),Cho vay khach hang (*),-,484.199,132.328,257.179,5.320.114,4.240.280,2.099.542,12.533.642,,,484199.0,132328.0,257179.0,5320114.0,4240280.0,2099542.0,12533642.0,
Ching khoan dau itr (*),Ching khoan kinh doanh (*) > Ching khoan dau itr (*),Ching khoan dau itr (*),-,-,-,-,-,2.675.872,-,2.675.872,,,,,,,2675872.0,,2675872.0,
"Gop vohn, dau tu dai han (*)","Ching khoan kinh doanh (*) > Gop vohn, dau tu dai han (*)","Gop vohn, dau tu dai han (*)",-,-,-,-,-,-,125.655,125.655,,,,,,,,125655.0,125655.0,
Tal san cc dinh va Bat dong san dau tu,Ching khoan kinh doanh (*) > Tal san cc dinh va Bat dong san dau tu,Tal san cc dinh va Bat dong san dau tu,-,-,-,-,-,-,-,959.439,959.439,,,,,,,,959439.0,959439.0
Tal san cc dinh va Bat dong san dau tu,Tal san cc dinh va Bat dong san dau tu,Tal san cc dinh va Bat dong san dau tu,-,-,-,-,-,-,-,-,-,,,,,,,,,
Tang Tali san,Tal san cc dinh va Bat dong san dau tu > Tang Tali san,Tang Tali san,-,586.753,-,-,-,-,-,-,586.753,,586753.0,,,,,,,586753.0
Np phai tera,Np phai tera,Np phai tera,,,,,,,,,,,,,,,,,,
Titin ghi cua khach hang,Np phai tera > Titin ghi cua khach hang,Titin ghi cua khach hang,-,-,4.761.513,2.814.287,1.599.703,2.1439,4.971.986,,14.168.928,,,4761513.0,2814287.0,1599703.0,21439.0,4971986.0,,14168928.0
Cac cong cu tai chinh phai sindh va caca khoan ny toi chinh khaic,Np phai tera > Cac cong cu tai chinh phai sindh va caca khoan ny toi chinh khaic,Cac cong cu tai chinh phai sindh va caca khoan ny toi chinh khaic,-,-,810.201,223.590,-,-,-,-,1.033.791,,,810201.0,223590.0,,,,,1033791.0
Cic khoan ny khaic,Cic khoan ny khaic,Cic khoan ny khaic,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Vohn tai ro, thy thatc dau tiu, cho vay TCITD chilu rni to","Vohn tai ro, thy thatc dau tiu, cho vay TCITD chilu rni to","Vohn tai ro, thy thatc dau tiu, cho vay TCITD chilu rni to",-,-,-,-,-,-,-,-,-,,,,,,,,,
Phat hanch giry to co gia,Phat hanch giry to co gia,Phat hanch giry to co gia,-,-,-,-,-,-,-,-,-,,,,,,,,,
Cao khoan ny khaic,Phat hanch giry to co gia > Cao khoan ny khaic,Cao khoan ny khaic,-,-,330.325,-,-,-,-,-,330.325,,,330325.0,,,,,,330325.0
Tong Ny phai tera,Phat hanch giry to co gia > Tong Ny phai tera,Tong Ny phai tera,-,-,5.902.039,3.037.877,1.599.703,2.1439,4.971.986,-; -,15.533.044,,,5902039.0,3037877.0,1599703.0,21439.0,4971986.0,,15533044.0
Mice chenih lech nhagy cam voti lai sutt ngti bhang,Phat hanch giry to co gia > Mice chenih lech nhagy cam voti lai sutt ngti bhang,Mice chenih lech nhagy cam voti lai sutt ngti bhang,-,787.134,(3.061.007),(2.905.549),(1.342.524),5.298.675,1.944.166,3.184.636,3.905.531,,787134.0,-3061007.0,-2905549.0,-1342524.0,5298675.0,1944166.0,3184636.0,3905531.0
Cac ccm kef ngqai bang co tec dcng tog mntc dg nhagy cam votl lai sutt cca cel tai san va cngng ny (trong),Phat hanch giry to co gia > Cac ccm kef ngqai bang co tec dcng tog mntc dg nhagy cam votl lai sutt cca cel tai san va cngng ny (trong),Cac ccm kef ngqai bang co tec dcng tog mntc dg nhagy cam votl lai sutt cca cel tai san va cngng ny (trong),-,(278.084),-,-,-,-,-,-,(278.084),,-278084.0,,,,,,,-278084.0
"Mice chenh lech nhagy cam votl lai sutt ngti, ngqai bhang","Phat hanch giry to co gia > Mice chenh lech nhagy cam votl lai sutt ngti, ngqai bhang","Mice chenh lech nhagy cam votl lai sutt ngti, ngqai bhang",-,509.050,(3.061.007),(2.905.549),(1.342.524),5.298.675,1.944.166,3.184.636,3.627.447,,509050.0,-3061007.0,-2905549.0,-1342524.0,5298675.0,1944166.0,3184636.0,3627447.0
