row_label_raw,row_label_full,Chl teu,Qua han,Kheng chiu lai,Dein I thang,Tv 1 dhen 3 trang,Tv 3 dhen 6 trang,Tv 6 dhen 12 trang,Tv 1 dhen 5 nhm,Tren 5 nhm,Tong,numeric__Qua han,numeric__Kheng chiu lai,numeric__Dein I thang,numeric__Tv 1 dhen 3 trang,numeric__Tv 3 dhen 6 trang,numeric__Tv 6 dhen 12 trang,numeric__Tv 1 dhen 5 nhm,numeric__Tren 5 nhm,numeric__Tong
"Tien mate, vang bac, da guy","Tien mate, vang bac, da guy","Tien mate, vang bac, da guy",-,190.900,,-,-,-,-,-,190.900,,190900.0,,,,,,,190900.0
Tien gori lat iegan hang Nha nvtoc,Tien gori lat iegan hang Nha nvtoc,Tien gori lat iegan hang Nha nvtoc,-,-,477.364,-,-,-,-,-,477.364,,,477364.0,,,,,,477364.0
Tien gori tai iegan hang Nha nvtoc,Tien gori tai iegan hang Nha nvtoc,Tien gori tai iegan hang Nha nvtoc,-,-,1.370.657,,,,,-,1.370.657,,,1370657.0,,,,,,1370657.0
Chng khoan kinh doorh (*),Chng khoan kinh doorh (*),Chng khoan kinh doorh (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
Cao cang cu tai chinh phat sinh va cac tai san tai chinh khaic (*),Chng khoan kinh doorh (*) > Cao cang cu tai chinh phat sinh va cac tai san tai chinh khaic (*),Cao cang cu tai chinh phat sinh va cac tai san tai chinh khaic (*),-,3.068,451.136,115.346,175.652,2.232.791,6.459.429,2.177.664,11.612.018,,3068.0,451136.0,115346.0,175652.0,2232791.0,6459429.0,2177664.0,11612018.0
Cho vay khat hang (*),Chng khoan kinh doorh (*) > Cho vay khat hang (*),Cho vay khat hang (*),-,-,-,-,-,-,-,-,3.068,,,,,,,,,3068.0
Chng khoan dau tu (*),Chng khoan kinh doorh (*) > Chng khoan dau tu (*),Chng khoan dau tu (*),-,-,-,-,-,2.752.732,20.000,2.772.732,,,,,,,2752732.0,20000.0,2772732.0,
Chming khoan dau tu (*),Chming khoan dau tu (*),Chming khoan dau tu (*),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Gop vom, dau tu dai han (*)","Chming khoan dau tu (*) > Gop vom, dau tu dai han (*)","Gop vom, dau tu dai han (*)",-,-,-,-,-,-,-,118.276,118.276,,,,,,,,118276.0,118276.0
Tiai san co dinh va Bat dong san dau tu,Chming khoan dau tu (*) > Tiai san co dinh va Bat dong san dau tu,Tiai san co dinh va Bat dong san dau tu,-,-,-,-,-,-,-,947.836,947.836,,,,,,,,947836.0,947836.0
Tiai san co dinh va Bat dong san dau tu,Tiai san co dinh va Bat dong san dau tu,Tiai san co dinh va Bat dong san dau tu,-,-,-,-,-,-,-,-,-,,,,,,,,,
Tiang Tali san,Tiai san co dinh va Bat dong san dau tu > Tiang Tali san,Tiang Tali san,-,593.280,-,-,-,-,-,-,593.280,,593280.0,,,,,,,593280.0
Nog phai tera,Nog phai tera,Nog phai tera,,,,,,,,,,,,,,,,,,
Tien giri cua khach hang,Nog phai tera > Tien giri cua khach hang,Tien giri cua khach hang,-,-,4.454.680,2.243.871,1.245.872,54.309,5.143.027,,13.141.759,,,4454680.0,2243871.0,1245872.0,54309.0,5143027.0,,13141759.0
Cao cang cu tai chinh phai sinh va cac khoan ny tai chinh khaic,Nog phai tera > Cao cang cu tai chinh phai sinh va cac khoan ny tai chinh khaic,Cao cang cu tai chinh phai sinh va cac khoan ny tai chinh khaic,-,-,-,-,-,-,-,-,270.271,,,,,,,,,270271.0
"Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti","Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti","Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti",-,-,-,-,-,-,-,-,-,,,,,,,,,
Phat hanh gay to co gila,"Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti > Phat hanh gay to co gila",Phat hanh gay to co gila,-,-,270.271,-,-,-,,-,270.271,,,270271.0,,,,,,270271.0
Cao khoan ny khaic,"Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti > Cao khoan ny khaic",Cao khoan ny khaic,-,-,5.517.492,2.397.101,1.245.872,54.309,5.143.027,-,14.357.801,,,5517492.0,2397101.0,1245872.0,54309.0,5143027.0,,14357801.0
Tiong Ng phai tera,"Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti > Tiong Ng phai tera",Tiong Ng phai tera,-,-,784.180,(3.215.267),(2.281.755),(1.070.220),2.178.482,4.069.134,3.263.776,,,784180.0,-3215267.0,-2281755.0,-1070220.0,2178482.0,4069134.0,3263776.0
"Cao cam ket ngqai bang of tae dingg toti mnc cf dg nhay cam votl lai sutr ngh, ngqai bang","Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti > Cao cam ket ngqai bang of tae dingg toti mnc cf dg nhay cam votl lai sutr ngh, ngqai bang","Cao cam ket ngqai bang of tae dingg toti mnc cf dg nhay cam votl lai sutr ngh, ngqai bang",-,(255.380),-,-,-,-,-,-,(255.380),,-255380.0,,,,,,,-255380.0
"Cao chenh lech nhay cam votl lai sutr ngh, ngqai bang","Von tai tirp, uy thai cac dau tu, cho vay TCITD chilu riti > Cao chenh lech nhay cam votl lai sutr ngh, ngqai bang","Cao chenh lech nhay cam votl lai sutr ngh, ngqai bang",-,528.800,(3.215.267),(2.281.755),(1.070.220),2.178.482,4.069.134,3.263.776,3.472.950,,528800.0,-3215267.0,-2281755.0,-1070220.0,2178482.0,4069134.0,3263776.0,3472950.0
