row_label_raw,row_label_full,Nguyen gita TSCD hku hlnh,Nguyen gita TSCD hku hlnh_1,Nguyen gita TSCD hku hlnh_2,Nguyen gita TSCD hku hlnh_3,Nguyen gita TSCD hku hlnh_4,Nguyen gita TSCD hku hlnh_5,Nguyen gita TSCD hku hlnh_6,numeric__Nguyen gita TSCD hku hlnh_1,numeric__Nguyen gita TSCD hku hlnh_2,numeric__Nguyen gita TSCD hku hlnh_3,numeric__Nguyen gita TSCD hku hlnh_4,numeric__Nguyen gita TSCD hku hlnh_5,numeric__Nguyen gita TSCD hku hlnh_6
S6 dur dau nam,S6 dur dau nam,S6 dur dau nam,721.483,63.042,48.355,36.832,10.231,879.943,721483.0,63042.0,48355.0,36832.0,10231.0,879943.0
-Mua trong Ky,-Mua trong Ky,-Mua trong Ky,48.214,6.687,3.817,438,1.316,60.472,48214.0,6687.0,3817.0,438.0,1316.0,60472.0
-Tang do dieu chyuen,-Tang do dieu chyuen,-Tang do dieu chyuen,-,91,1.633,-,-,1.724,,91.0,1633.0,,,1724.0
-Tang do dieu chih,-Tang do dieu chih,-Tang do dieu chih,-,393,-,8,12,413,,393.0,,8.0,12.0,413.0
"-Thanh IY, nhuong ban","-Thanh IY, nhuong ban","-Thanh IY, nhuong ban",(35),(606),(650),(34),(236),(1.561),-35.0,-606.0,-650.0,-34.0,-236.0,-1561.0
-Giam do dieu chyuen,-Giam do dieu chyuen,-Giam do dieu chyuen,-,-,(1.633),(91),-,(1.724),,,-1633.0,-91.0,,-1724.0
-Giam do dieu chih,-Giam do dieu chih,-Giam do dieu chih,(12.591),(395),-,(10),(12),(13.008),-12591.0,-395.0,,-10.0,-12.0,-13008.0
-S6 dur cudi nam,-S6 dur cudi nam,-S6 dur cudi nam,757.071,69.212,51.522,37.143,11.311,926.259,757071.0,69212.0,51522.0,37143.0,11311.0,926259.0
Gia tri hao moin luy ke,Gia tri hao moin luy ke,Gia tri hao moin luy ke,166.798,57.697,39.433,19.228,8.922,292.078,166798.0,57697.0,39433.0,19228.0,8922.0,292078.0
-Hao moin trong ky,-Hao moin trong ky,-Hao moin trong ky,28.510,2.806,2.532,3.099,640,37.587,28510.0,2806.0,2532.0,3099.0,640.0,37587.0
-Tang do dieu chyuen,-Tang do dieu chyuen,-Tang do dieu chyuen,-,91,1.633,-,9,104,,91.0,1633.0,,9.0,104.0
-Tang do dieu chih,-Tang do dieu chih,-Tang do dieu chih,-,6,89,-,9,104,,6.0,89.0,,9.0,104.0
"-Thanh IY, nhuong ban","-Thanh IY, nhuong ban","-Thanh IY, nhuong ban",(3),(606),(650),-,(236),(1.495),-3.0,-606.0,-650.0,,-236.0,-1495.0
-Giam do dieu chyuen,-Giam do dieu chyuen,-Giam do dieu chyuen,-,-,(1.633),(91),-,(1.724),,,-1633.0,-91.0,,-1724.0
-Giam do dieu chih,-Giam do dieu chih,-Giam do dieu chih,(4.945),(20),(10),(64),(9),(5.048),-4945.0,-20.0,-10.0,-64.0,-9.0,-5048.0
-S6 dur cudi nam,-S6 dur cudi nam,-S6 dur cudi nam,190.363,59.995,41.404,22.238,9.335,323.335,190363.0,59995.0,41404.0,22238.0,9335.0,323335.0
S6 du dau nam,S6 du dau nam,S6 du dau nam,554.685,5.345,8.922,17.604,1.309,587.865,554685.0,5345.0,8922.0,17604.0,1309.0,587865.0
S6 du cudi nam,S6 du cudi nam,S6 du cudi nam,566.708,9.217,8.922,10.118,14.905,602.924,566708.0,9217.0,8922.0,10118.0,14905.0,602924.0
