row_label_raw,row_label_full,Ten,31/12/2016 > Gia gbc,31/12/2016 > Gia tri hizen tai,31/12/2016 > Tsy le phan. von (%),31/12/2016 > Gia gbc_1,31/12/2015 > Gia tri hizen tai,31/12/2015 > Ty le phan von (%),numeric__31/12/2016 > Gia gbc,numeric__31/12/2016 > Gia tri hizen tai,numeric__31/12/2016 > Tsy le phan. von (%),numeric__31/12/2016 > Gia gbc_1,numeric__31/12/2015 > Gia tri hizen tai,numeric__31/12/2015 > Ty le phan von (%)
"9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang","9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang",,,,,,
Dai tu dai han khae,"9. Gcp von, dau tu dai han (tipp theo): - Chil tiet cac khoen dau tu dai han cua Ngesn hang > Dai tu dai han khae",Dai tu dai han khae,125.655,123.831,,118.276,117.336,,125655.0,123831.0,,118276.0,117336.0,
Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,Dai tu dai ao cac TCITDNGan hang TMCP Bain Viet,,,,,,
Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,,,,,,
Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,Dai tu vao doanh nighijep khae,,,,,,
Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,Cty CP Khach san Sai Gon Ha Long,,,,,,
Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,Cany Chuyen machi Tsi chihi Qude Gia,,,,,,
Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,Cany CP Chime khoen Salegonbank Befaya,,,,,,
Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,Ouy BL Tin dung cua Doanh nighijep viva ya ndo,,,,,,
Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,,,,,,
Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,Cong ty CP Chung khoen Salegonbank Befaya,,,,,,
Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,Dy PhD giam gia dau tu ching khoen dai han,,,,,,
Tong cngg,Dy PhD giam gia dau tu ching khoen dai han > Tong cngg,Tong cngg,125.655,123.831,,118.276,117.336,,125655.0,123831.0,,118276.0,117336.0,
