row_label_raw,row_label_full,Nguyen gia TSCD hnu hlnh,Nguyen gia TSCD hnu hlnh_1,Nguyen gia TSCD hnu hlnh_2,Nguyen gia TSCD hnu hlnh_3,Nguyen gia TSCD hnu hlnh_4,Nguyen gia TSCD hnu hlnh_5,Nguyen gia TSCD hnu hlnh_6,numeric__Nguyen gia TSCD hnu hlnh_1,numeric__Nguyen gia TSCD hnu hlnh_2,numeric__Nguyen gia TSCD hnu hlnh_3,numeric__Nguyen gia TSCD hnu hlnh_4,numeric__Nguyen gia TSCD hnu hlnh_5,numeric__Nguyen gia TSCD hnu hlnh_6
S6 dur dau nhm,S6 dur dau nhm,S6 dur dau nhm,692.521,62.568,49.125,36.318,12.786,853.318,692521.0,62568.0,49125.0,36318.0,12786.0,853318.0
- Tangu do dieu chuyén,- Tangu do dieu chuyén,- Tangu do dieu chuyén,-,556,-,-,-,556,,556.0,,,,556.0
- Tangu do dieu chih,- Tangu do dieu chih,- Tangu do dieu chih,-,444,13,94,117,668,,444.0,13.0,94.0,117.0,668.0
"- Thanh ly, nhuong ban","- Thanh ly, nhuong ban","- Thanh ly, nhuong ban",-,(776),(692),-,(3.279),(4.747),,-776.0,-692.0,,-3279.0,-4747.0
- Giam do dieu chuyén,- Giam do dieu chuyén,- Giam do dieu chuyén,-,(839),(75),-,(914),,,-839.0,-75.0,,-914.0,
- Giam do dieu chih,- Giam do dieu chih,- Giam do dieu chih,-,(556),-,-,(556),,,-556.0,,,-556.0,
- Giam do dieu nhm (cing ty con),- Giam do dieu nhm (cing ty con),- Giam do dieu nhm (cing ty con),-,(174),(13),(481),-,(668),,-174.0,-13.0,-481.0,,-668.0
S6 dur cual nam,S6 dur cual nam,S6 dur cual nam,721.483,63.042,48.355,36.832,10.231,879.943,721483.0,63042.0,48355.0,36832.0,10231.0,879943.0
Gia tri hao moan lgy ke,Gia tri hao moan lgy ke,Gia tri hao moan lgy ke,,,,,,,,,,,,
- Hao moin trong nhm (cing ty con),Gia tri hao moan lgy ke > - Hao moin trong nhm (cing ty con),- Hao moin trong nhm (cing ty con),-,7,63,-,16,86,,7.0,63.0,,16.0,86.0
- Tangu do dieu chuyén,Gia tri hao moan lgy ke > - Tangu do dieu chuyén,- Tangu do dieu chuyén,-,556,-,-,556,,,556.0,,,556.0,
- Tangu do dieu chih,Gia tri hao moan lgy ke > - Tangu do dieu chih,- Tangu do dieu chih,-,307,30,63,44,448,,307.0,30.0,63.0,44.0,448.0
- Thang do dieu chih,Gia tri hao moan lgy ke > - Thang do dieu chih,- Thang do dieu chih,-,(510),-,-,(1.900),(2.410),,-510.0,,,-1900.0,-2410.0
- Giam do dieu chuyén,Gia tri hao moan lgy ke > - Giam do dieu chuyén,- Giam do dieu chuyén,-,(839),(75),-,(914),,,-839.0,-75.0,,-914.0,
- Giam do dieu chih,Gia tri hao moan lgy ke > - Giam do dieu chih,- Giam do dieu chih,-,(556),-,(294),(9),(448),,-556.0,,-294.0,-9.0,-448.0
- Giam trong nhm (cing ty con),Gia tri hao moan lgy ke > - Giam trong nhm (cing ty con),- Giam trong nhm (cing ty con),(4),(111),(30),(294),(9),(448),-4.0,-111.0,-30.0,-294.0,-9.0,-448.0
S6 dur cual nam,Gia tri hao moan lgy ke > S6 dur cual nam,S6 dur cual nam,166.798,57.697,39.433,19.228,8.922,292.078,166798.0,57697.0,39433.0,19228.0,8922.0,292078.0
Gia tri cohn lai cna TSCD hnu hlnh,Gia tri hao moan lgy ke > Gia tri cohn lai cna TSCD hnu hlnh,Gia tri cohn lai cna TSCD hnu hlnh,553.231,8.177,11.657,5.345,8.922,585.690,553231.0,8177.0,11657.0,5345.0,8922.0,585690.0
S6 dur cual nhm,Gia tri hao moan lgy ke > S6 dur cual nhm,S6 dur cual nhm,554.885,5.345,19.918,2.707,595.690,587.865,554885.0,5345.0,19918.0,2707.0,595690.0,587865.0
