row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Số năm nay,Số năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số năm nay,numeric__Số năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,11.830.033.488.478,10.674.792.955.406,,1.0,,11830033488478.0,10674792955406.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,-,-,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,11.830.033.488.478,10.674.792.955.406,,10.0,,11830033488478.0,10674792955406.0
4.,4.,4.,Giá vốn hàng bán,11,VI.2,10.595.351.764.607,9.438.649.098.509,,11.0,,10595351764607.0,9438649098509.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,1.234.681.723.871,1.236.143.856.897,,20.0,,1234681723871.0,1236143856897.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.3,228.488.433.692,362.991.102.761,,21.0,,228488433692.0,362991102761.0
7.,7.,7.,Chi phí tài chính,22,VI.4,471.341.200.805,515.579.719.862,,22.0,,471341200805.0,515579719862.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,371.501.457.645,362.884.730.754,,23.0,,371501457645.0,362884730754.0
8.,8.,8.,Chi phí bán hàng,25,,2.218.711.007,2.370.156.654,,25.0,,2218711007.0,2370156654.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,VI.5,376.243.287.375,313.166.442.997,,26.0,,376243287375.0,313166442997.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,613.366.958.376,768.018.640.145,,30.0,,613366958376.0,768018640145.0
11.,11.,11.,Thu nhập khác,31,,4.861.617.393,3.092.443.024,,31.0,,4861617393.0,3092443024.0
12.,12.,12.,Chi phí khác,32,,2.881.134.406,8.159.014.707,,32.0,,2881134406.0,8159014707.0
13.,13.,13.,Lợi nhuận khác,40,,1.980.482.987,(5.066.571.683),,40.0,,1980482987.0,-5066571683.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế,50,,615.347.441.363,762.952.068.462,,50.0,,615347441363.0,762952068462.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,VI.7,75.336.615.002,72.353.588.162,,51.0,,75336615002.0,72353588162.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,,52.0,,,
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,540.010.826.361,690.598.480.300,,60.0,,540010826361.0,690598480300.0
18.,18.,18.,Lợi nhuận sau thuế của công ty mẹ,61,,540.902.267.124,690.321.580.694,,61.0,,540902267124.0,690321580694.0
19.,19.,19.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,(891.440.763),276.899.606,,62.0,,-891440763.0,276899606.0
20.,20.,20.,Lãi cơ bản trên cổ phiếu,70,VI.8,792,947,,70.0,,792.0,947.0
