row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ_1,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ_1,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,3.342.356.953.412,3.342.356.953.412,8.134.896.259.256,8.436.099.562.015,3.041.153.650.653,,3342356953412.0,3342356953412.0,8134896259256.0,8436099562015.0,3041153650653.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,[1],1.474.536.993.165,1.474.536.993.165,6.702.232.377.175,6.564.589.602.205,1.612.179.768.135,,1474536993165.0,1474536993165.0,6702232377175.0,6564589602205.0,1612179768135.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,[2],14.990.000.000,14.990.000.000,16.760.000.000,18.680.000.000,13.070.000.000,,14990000000.0,14990000000.0,16760000000.0,18680000000.0,13070000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,1.852.829.960.247,1.852.829.960.247,1.415.903.882.081,1.852.829.959.810,1.415.903.882.518,,1852829960247.0,1852829960247.0,1415903882081.0,1852829959810.0,1415903882518.0
Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,[3],987.352.932.045,987.352.932.045,876.006.333.252,987.352.932.045,876.006.333.252,,987352932045.0,987352932045.0,876006333252.0,987352932045.0,876006333252.0
Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,Vay các bên liên quan đến hạn trả,[4],795.477.028.202,795.477.028.202,464.897.548.829,795.477.027.765,464.897.549.266,,795477028202.0,795477028202.0,464897548829.0,795477027765.0,464897549266.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,[5],-,-,5.000.000.000,-,5.000.000.000,,,,5000000000.0,,5000000000.0
Trái phiếu,Trái phiếu,Trái phiếu,[6],70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,70.000.000.000,,70000000000.0,70000000000.0,70000000000.0,70000000000.0,70000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,,2.896.327.647.438,2.896.327.647.438,151.384.402.275,1.426.359.659.878,1.621.352.389.835,,2896327647438.0,2896327647438.0,151384402275.0,1426359659878.0,1621352389835.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,[3],1.863.935.944.486,1.863.935.944.486,123.926.236.412,883.812.111.063,1.104.050.069.835,,1863935944486.0,1863935944486.0,123926236412.0,883812111063.0,1104050069835.0
Vay các bên liên quan,Vay các bên liên quan,Vay các bên liên quan,[4],866.941.702.952,866.941.702.952,25.208.165.863,464.897.548.815,427.252.320.000,,866941702952.0,866941702952.0,25208165863.0,464897548815.0,427252320000.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,[5],10.450.000.000,10.450.000.000,2.250.000.000,7.650.000.000,5.050.000.000,,10450000000.0,10450000000.0,2250000000.0,7650000000.0,5050000000.0
Trái phiếu,Trái phiếu,Trái phiếu,[6],155.000.000.000,155.000.000.000,-,70.000.000.000,85.000.000.000,,155000000000.0,155000000000.0,,70000000000.0,85000000000.0
Cộng,Cộng,Cộng,,6.238.684.600.850,6.238.684.600.850,8.286.280.661.531,9.862.459.221.893,4.662.506.040.488,,6238684600850.0,6238684600850.0,8286280661531.0,9862459221893.0,4662506040488.0
[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,[1] Vay ngân hàng ngắn hạn,,,,,,
Bên cho vay và hợp đồng,Bên cho vay và hợp đồng,Bên cho vay và hợp đồng,Thời hạn vay,Lãi suất,Lãi suất,Mục đích khoản vay,Tài sản đảm bảo,Số dư cuối năm,,,,,,
