row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận chuyển và thiết bị truyền dẫn,Thiết bị quản lý,TSCĐ khác,Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận chuyển và thiết bị truyền dẫn,numeric__Thiết bị quản lý,numeric__TSCĐ khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.901.310.615.363,24.318.766.452.015,525.089.022.763,33.161.606.533,25.386.625.448,33.803.714.322.122,8901310615363.0,24318766452015.0,525089022763.0,33161606533.0,25386625448.0,33803714322122.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,917.945.454,-,-,-,917.945.454,,917945454.0,,,,917945454.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,10.911.642.005,138.090.873.908,-,7.840.158.654,-,156.842.674.567,10911642005.0,138090873908.0,,7840158654.0,,156842674567.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(800.299.731),800.299.731,-,-,-,,-800299731.0,800299731.0,,,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(602.909.497),-,-,-,-,(602.909.497),-602909497.0,,,,,-602909497.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.911.619.347.871,24.456.974.971.646,525.889.322.494,41.001.765.187,25.386.625.448,33.960.872.032.646,8911619347871.0,24456974971646.0,525889322494.0,41001765187.0,25386625448.0,33960872032646.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.951.748.258.603,18.554.262.676.614,462.097.547.998,28.993.412.419,22.703.704.639,23.019.805.600.273,3951748258603.0,18554262676614.0,462097547998.0,28993412419.0,22703704639.0,23019805600273.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,342.772.829.773,1.152.299.969.557,11.417.965.303,3.533.826.679,350.474.405,1.510.375.065.717,342772829773.0,1152299969557.0,11417965303.0,3533826679.0,350474405.0,1510375065717.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.729.121.015,-,-,-,988.464.259,3.717.585.274,2729121015.0,,,,988464259.0,3717585274.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,7.891.852.364,(8.735.942.433),800.299.731,43.790.338,-,-,7891852364.0,-8735942433.0,800299731.0,43790338.0,,
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(602.909.497),-,-,-,-,(602.909.497),-602909497.0,,,,,-602909497.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.304.539.152.258,19.697.826.703.738,474.315.813.032,32.571.029.436,24.042.643.303,24.533.295.341.767,4304539152258.0,19697826703738.0,474315813032.0,32571029436.0,24042643303.0,24533295341767.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.949.562.356.760,5.764.503.775.401,62.991.474.765,4.168.194.114,2.682.920.809,10.783.908.721.849,4949562356760.0,5764503775401.0,62991474765.0,4168194114.0,2682920809.0,10783908721849.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.607.080.195.613,4.759.148.267.908,51.573.509.462,8.430.735.751,1.343.982.145,9.427.576.690.879,4607080195613.0,4759148267908.0,51573509462.0,8430735751.0,1343982145.0,9427576690879.0
