row_label_raw,row_label_full,Bên liên quan,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,Công ty Kho vận và Cảng Cẩm Phả - Vinacomin,2.079.477.928.059,782.200.807.658,2079477928059.0,782200807658.0
"Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin","Công ty CP Tin học, Công nghệ, Môi trường - Vinacomin",1.747.858.801,848.104.144,1747858801.0,848104144.0
Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,Công ty CP Vật tư - TKV,333.687.770,17.963.034.596,333687770.0,17963034596.0
Công ty CP công nghiệp ô tô - Vinacomin,Công ty CP công nghiệp ô tô - Vinacomin,Công ty CP công nghiệp ô tô - Vinacomin,336.926.630,162.453.042,336926630.0,162453042.0
Viện cơ khí năng lượng và mô - Vinacomin,Viện cơ khí năng lượng và mô - Vinacomin,Viện cơ khí năng lượng và mô - Vinacomin,943.979.239,10.212.628.885,943979239.0,10212628885.0
Trường Quản trị kinh doanh Vinacomin,Trường Quản trị kinh doanh Vinacomin,Trường Quản trị kinh doanh Vinacomin,9.610.000,-,9610000.0,
Công ty CP Xuất nhập khẩu than - Vinacomin,Công ty CP Xuất nhập khẩu than - Vinacomin,Công ty CP Xuất nhập khẩu than - Vinacomin,5.416.271.746,5.109.175.940,5416271746.0,5109175940.0
Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,Công ty TNHH MTV Môi trường - TKV,4.259.892.564,4.783.719.489,4259892564.0,4783719489.0
Tổng công ty Công nghiệp Mô Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mô Việt Bắc TKV - CTCP,Tổng công ty Công nghiệp Mô Việt Bắc TKV - CTCP,2.795.271.552,8.161.134.988,2795271552.0,8161134988.0
Bệnh viện Than - Khoáng sản Việt Nam,Bệnh viện Than - Khoáng sản Việt Nam,Bệnh viện Than - Khoáng sản Việt Nam,349.686.531,187.850.082,349686531.0,187850082.0
Công ty CP Giám định Vinacomin,Công ty CP Giám định Vinacomin,Công ty CP Giám định Vinacomin,201.573.000,204.008.850,201573000.0,204008850.0
Công ty CP Chế tạo máy - Vinacomin,Công ty CP Chế tạo máy - Vinacomin,Công ty CP Chế tạo máy - Vinacomin,-,1.293.441.000,,1293441000.0
Viện Khoa học Công nghệ Mô - Vinacomin,Viện Khoa học Công nghệ Mô - Vinacomin,Viện Khoa học Công nghệ Mô - Vinacomin,38.290.909,606.109.047,38290909.0,606109047.0
Trường cao đẳng than - Khoáng sản Việt Nam,Trường cao đẳng than - Khoáng sản Việt Nam,Trường cao đẳng than - Khoáng sản Việt Nam,-,293.040.000,,293040000.0
Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,Tổng Công ty Công nghiệp Hóa chất mô - Vinacomin,7.880.224,-,7880224.0,
Công ty CP Tư vấn đầu từ mô và công nghiệp,Công ty CP Tư vấn đầu từ mô và công nghiệp,Công ty CP Tư vấn đầu từ mô và công nghiệp,216.245.136,,216245136.0,
Công ty CP Địa Chất và Khoáng sản - Vinacomin,Công ty CP Địa Chất và Khoáng sản - Vinacomin,Công ty CP Địa Chất và Khoáng sản - Vinacomin,-,1.562.432.765,,1562432765.0
Trung tâm Cấp cứu mô - Vinacomin,Trung tâm Cấp cứu mô - Vinacomin,Trung tâm Cấp cứu mô - Vinacomin,232.200.000,223.560.000,232200000.0,223560000.0
Công ty CP Du lịch và Thương mại - Vinacomin,Công ty CP Du lịch và Thương mại - Vinacomin,Công ty CP Du lịch và Thương mại - Vinacomin,2.843.253.373,854.389.516,2843253373.0,854389516.0
Cộng,Cộng,Cộng,2.099.210.555.534,834.665.890.002,2099210555534.0,834665890002.0
