row_label_raw,row_label_full,Bên cho vay và hợp đồng > Ngân hàng TMCP Việt Nam Thịnh Vượng- Hợp đồng tín dụng số:Hợp đồng số 012022/HDCV/VPB-NONGSON ngày 07/04/2022;Hợp đồng số 022022/HDCV/VPB-NONGSON ngày 28/03/2023. > Ngân hàng TMCP Tiên Phong CN ĐàNăng theo các hợp đồng tín dụng số:Hợp đồng 125/2020/HDTD/BDN/01Hợp đồng 215/2020/HDTD/BDN/01Hợp đồng 510/2020/HDTD/BDN/01Hợp đồng 121/2021/HDTD/BDN/01Hợp đồng 733/2018/HDTD/BDN/01Hợp đồng 697/2019/HDTD/BDN/01Hợp đồng 315/2021/HDTD/BDN/01Hợp đồng 146/2021/HDTD/BDN/01.,Thời hạn vay > 04 năm kể từ ngày giải ngân > 48 tháng kể từ ngày giải ngân đầu tiên,"Lãi suất > Thả nổi, lãi suất trong kỳ từ 10,5%-13%/năm > Thả nổi, lãi suất trong kỳ từ 7,48%-13,45%/năm","Mục đích khoản vay > Thanh toán chi phí sửa chữa trung đại tu tài sản cố định năm 2021, 2022. > Thanh toán tiền mua máy móc, thiết bị và/hoặc bù đắp vốn tự có để có thể thanh toán cho các nhà cung cấp.",Tài sản đảm bảo > Mở ký quỹ; thể chấp bằng NMND Nông Sơn theo Hợp đồng thế chấp tài sản gắn liền với đất số công chứng 2567 Quyền số 01TP/CC-SCC/HĐGD ngày 28/10/2015; toàn bộ máy móc thiết bị dự án NMND Nông son theo Hợp đồng thế chấp máy móc thiết bị số 29032022/HĐTC/VPB-NS ký ngày 07/4/2022. > Quy định cụ thể theo từng hợp đồng thế chấp tài sản.,Số dư cuối năm > 29.671.000.000 > 30.151.880.764,numeric__Thời hạn vay > 04 năm kể từ ngày giải ngân > 48 tháng kể từ ngày giải ngân đầu tiên,"numeric__Lãi suất > Thả nổi, lãi suất trong kỳ từ 10,5%-13%/năm > Thả nổi, lãi suất trong kỳ từ 7,48%-13,45%/năm","numeric__Mục đích khoản vay > Thanh toán chi phí sửa chữa trung đại tu tài sản cố định năm 2021, 2022. > Thanh toán tiền mua máy móc, thiết bị và/hoặc bù đắp vốn tự có để có thể thanh toán cho các nhà cung cấp.",numeric__Tài sản đảm bảo > Mở ký quỹ; thể chấp bằng NMND Nông Sơn theo Hợp đồng thế chấp tài sản gắn liền với đất số công chứng 2567 Quyền số 01TP/CC-SCC/HĐGD ngày 28/10/2015; toàn bộ máy móc thiết bị dự án NMND Nông son theo Hợp đồng thế chấp máy móc thiết bị số 29032022/HĐTC/VPB-NS ký ngày 07/4/2022. > Quy định cụ thể theo từng hợp đồng thế chấp tài sản.,numeric__Số dư cuối năm > 29.671.000.000 > 30.151.880.764
Cộng,Cộng,Cộng,,,,,1.980.056.403.087,,,,,1980056403087.0
[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,[4] Chi tiết các khoản vay bên liên quan: Được thuyết minh tại mục VII.3.,,,,,
[5] Vay các đối tượng khác dài hạnBên cho vay và hợp đồng,[5] Vay các đối tượng khác dài hạnBên cho vay và hợp đồng,[5] Vay các đối tượng khác dài hạnBên cho vay và hợp đồng,Thời hạn vay,Lãi suất,Mục đích khoản vay,Tài sản đảm bảo,Số dư cuối năm,,,,,
Vay cán bộ công nhân viên,[5] Vay các đối tượng khác dài hạnBên cho vay và hợp đồng > Vay cán bộ công nhân viên,Vay cán bộ công nhân viên,Trên 12 tháng,"Lãi suất trong kỳ từ 8,95%-10,95%/năm",Đầu tư xây dựng các dự án,Cấp tín dụng không có đảmbảo bằng tài sản,10.050.000.000,,,,,10050000000.0
Cộng,[5] Vay các đối tượng khác dài hạnBên cho vay và hợp đồng > Cộng,Cộng,,,,,10.050.000.000,,,,,10050000000.0
