row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch đánh giá TS,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch đánh giá TS,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.827.674.750.000,(28.358.542),(1.848.203.592),54.625.275.441,885.011.005.095,17.930.949.434,7.783.365.417.836,6827674750000.0,-28358542.0,-1848203592.0,54625275441.0,885011005095.0,17930949434.0,7783365417836.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,-,,,,,,,
Lãi/lỗ trong năm trước,Tăng vốn trong năm trước > Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,-,690.321.580.694,276.899.606,690.598.480.300,,,,,690321580694.0,276899606.0,690598480300.0
Phân phối lợi nhuận,Tăng vốn trong năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,-,(474.015.985.000),-,(474.015.985.000),,,,,-474015985000.0,,-474015985000.0
Công ty con phân phối lợi nhuận,Tăng vốn trong năm trước > Công ty con phân phối lợi nhuận,Công ty con phân phối lợi nhuận,-,-,-,-,(449.369.626),(56.842.160),(506.211.786),,,,,-449369626.0,-56842160.0,-506211786.0
Tăng khác/ Giảm khác,Tăng vốn trong năm trước > Tăng khác/ Giảm khác,Tăng khác/ Giảm khác,-,-,-,33.794.000.000,-,-,33.794.000.000,,,,33794000000.0,,,33794000000.0
Số dư cuối năm trước,Tăng vốn trong năm trước > Số dư cuối năm trước,Số dư cuối năm trước,6.827.674.750.000,(28.358.542),(1.848.203.592),88.419.275.441,1.100.867.231.163,18.151.006.880,8.033.235.701.350,6827674750000.0,-28358542.0,-1848203592.0,88419275441.0,1100867231163.0,18151006880.0,8033235701350.0
Số dư đầu năm nay,Tăng vốn trong năm trước > Số dư đầu năm nay,Số dư đầu năm nay,6.827.674.750.000,(28.358.542),(1.848.203.592),88.419.275.441,1.100.867.231.163,18.151.006.880,8.033.235.701.350,6827674750000.0,-28358542.0,-1848203592.0,88419275441.0,1100867231163.0,18151006880.0,8033235701350.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Lãi/lỗ trong năm nay,Tăng vốn trong năm nay > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,-,540.902.267.124,(891.440.763),540.010.826.361,,,,,540902267124.0,-891440763.0,540010826361.0
Phân phối lợi nhuận (*),Tăng vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,232.878.298.996,(652.029.701.677),-,(419.151.402.681),,,,232878298996.0,-652029701677.0,,-419151402681.0
Công ty con phân phối lợi nhuận,Tăng vốn trong năm nay > Công ty con phân phối lợi nhuận,Công ty con phân phối lợi nhuận,-,-,-,-,(2.189.048.989),(276.899.606),(2.465.948.595),,,,,-2189048989.0,-276899606.0,-2465948595.0
Số dư cuối năm nay,Tăng vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.827.674.750.000,(28.358.542),(1.848.203.592),321.297.574.437,987.550.747.621,16.982.666.511,8.151.629.176.435,6827674750000.0,-28358542.0,-1848203592.0,321297574437.0,987550747621.0,16982666511.0,8151629176435.0
