row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số bù trừ với nghĩa vụ nộp thuế/ đã nộp,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số bù trừ với nghĩa vụ nộp thuế/ đã nộp,numeric__Số cuối năm
Thuế GTGT,Thuế GTGT,Thuế GTGT,-,-,11.671.198.227,11.671.198.227,,,11671198227.0,11671198227.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,-,12.222.207.614,12.222.207.614,,,12222207614.0,12222207614.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.021.376.614,306.766.662,175.827.866,890.437.818,1021376614.0,306766662.0,175827866.0,890437818.0
Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,Thuế đất và tiền thuê đất,1.294.999.916,334.722.100,486.823.380,1.447.101.196,1294999916.0,334722100.0,486823380.0,1447101196.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,26.808.791,-,815.755.367,842.564.158,26808791.0,,815755367.0,842564158.0
"Các khoản phí, lệ phí, các khoản phải","Các khoản phí, lệ phí, các khoản phải","Các khoản phí, lệ phí, các khoản phải",1.877.970,1.877.970,1.031.000,1.031.000,1877970.0,1877970.0,1031000.0,1031000.0
Cộng,Cộng,Cộng,2.345.063.291,643.366.732,25.372.843.454,27.074.540.013,2345063291.0,643366732.0,25372843454.0,27074540013.0
