row_label_raw,row_label_full,- Ông Lê Ngoc Nam,Truong ban,numeric__Truong ban
- Bà Bùi Thu Thái,- Bà Bùi Thu Thái,- Bà Bùi Thu Thái,Thành viên,
- Bà Đào Thị Hoàng Yến,- Bà Đào Thị Hoàng Yến,- Bà Đào Thị Hoàng Yến,Thành viên,
