row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Năm nay > Phải thu ngắn hạn khác (Thuyết minh số 9),Năm trước > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Năm nay > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Năm trước > Phải thu ngắn hạn khác (Thuyết minh số 9)
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Tạm ứng,51.152.658.689,29.471.250.456,,51152658689.0,29471250456.0
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Tạm ứng,3.489.211.820,3.489.211.820,,3489211820.0,3489211820.0
Ông Phan Anh Dũng,Ông Phan Anh Dũng,Ông Phan Anh Dũng,Tạm ứng,110.000.000,110.000.000,,110000000.0,110000000.0
Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế,Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế,Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế,Tạm ứng,36.500.000,206.586.000-,,36500000.0,
Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế,Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế,Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế,Phải thu khác,,,,,
Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế > Bà Nguyễn Mỹ Ngọc,Bà Nguyễn Mỹ Ngọc,Tạm ứng,173.447.000,-,,173447000.0,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Bà Nguyễn Chung Thủy Công ty Cổ phần Đầu tư Sài Gòn Huế > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Đặt cọc,684.708.333,21.592.687.097,,684708333.0,21592687097.0
,,,,55.646.525.842,54.869.735.373,,55646525842.0,54869735373.0
Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),Phải trả người bán (Thuyết minh số 16),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Phải trả người bán (Thuyết minh số 16) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn - Chi nhánh Bắc Ninh,Phải trả phí dịch vụ,12.320.000,109.340.000,,12320000.0,109340000.0
,,,,12.320.000,109.340.000,,12320000.0,109340000.0
Chi phí phải trả (Thuyết minh số 18),Chi phí phải trả (Thuyết minh số 18),Chi phí phải trả (Thuyết minh số 18),Chi phí phải trả (Thuyết minh số 18),Chi phí phải trả (Thuyết minh số 18),Chi phí phải trả (Thuyết minh số 18),,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Chi phí phải trả (Thuyết minh số 18) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn,Lãi vay phải trả,640.285.731,505.488.735,,640285731.0,505488735.0
,,,,640.285.731,505.488.735,,640285731.0,505488735.0
Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),Vay ngắn hạn (Thuyết minh số 20),,,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Vay ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Khu công nghệ Cao Sài Gòn (*),Vay ngắn hạn,112.330.830.000,112.330.830.000,,112330830000.0,112330830000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Vay ngắn hạn (Thuyết minh số 20) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Vay ngắn hạn,-,1.500.000.000,,,1500000000.0
,,,,112.330.830.000,113.830.830.000,,112330830000.0,113830830000.0
