row_label_raw,row_label_full,col_0,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Đầu tư Sài Gòn - Huế,Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn,Công ty Cổ phần Scanviwood,Tổng cộng,numeric__Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,numeric__Công ty Cổ phần Đầu tư Sài Gòn - Huế,numeric__Công ty Cổ phần Đầu tư Phát triển Hạ tầng Khu Công nghệ Cao Sài Gòn,numeric__Công ty Cổ phần Scanviwood,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,423.492.661.074,210.627.000.000,82.330.830.000,7.204.600.000,723.655.091.074,423492661074.0,210627000000.0,82330830000.0,7204600000.0,723655091074.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,423.492.661.074,210.627.000.000,82.330.830.000,7.204.600.000,723.655.091.074,423492661074.0,210627000000.0,82330830000.0,7204600000.0,723655091074.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,(75.927.808.426),(2.745.856.478),127.008.255,(529.339.698),(79.075.996.347),-75927808426.0,-2745856478.0,127008255.0,-529339698.0,-79075996347.0
- Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,- Phần lợi nhuận/(lỗ) sau khi mua công ty liên kết,21.232.424.448,(1.901.688.706),(10.863.725),(583.526.269),18.736.345.748,21232424448.0,-1901688706.0,-10863725.0,-583526269.0,18736345748.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,(54.695.383.978),(4.647.545.184),116.144.530,(1.112.865.967),(60.339.650.599),-54695383978.0,-4647545184.0,116144530.0,-1112865967.0,-60339650599.0
Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,Phân bổ lợi thể thương mại:,,,,,
Số đầu năm,Phân bổ lợi thể thương mại: > Số đầu năm,Số đầu năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Số cuối năm,Phân bổ lợi thể thương mại: > Số cuối năm,Số cuối năm,160.227.726.386,-,-,-,160.227.726.386,160227726386.0,,,,160227726386.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,187.337.126.262,207.881.143.522,82.457.838.255,6.675.260.302,484.351.368.341,187337126262.0,207881143522.0,82457838255.0,6675260302.0,484351368341.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,208.569.550.710,205.979.454.816,82.446.974.530,6.091.734.032,503.087.714.088,208569550710.0,205979454816.0,82446974530.0,6091734032.0,503087714088.0
