row_label_raw,row_label_full,col_0,Vốn cổ phần đã góp,Thặng dư vốn,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã góp,numeric__Thặng dư vốn,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,1.781.536.119.480,870.535.724.540,8.036.004.987.843,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,1781536119480.0,870535724540.0,8036004987843.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,,,,,557.370.239.809,153.914.756.832,711.284.996.641,,,,,557370239809.0,153914756832.0,711284996641.0
- Giảm khác,Năm trước > - Giảm khác,- Giảm khác,,,,,(20.071.377.430),(106.128.622.570),(126.200.000.000),,,,,-20071377430.0,-106128622570.0,-126200000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,2.318.834.981.859,918.321.858.802,8.621.089.984.484,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,2318834981859.0,918321858802.0,8621089984484.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,2.318.834.981.859,918.321.858.802,8.621.089.984.484,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,2318834981859.0,918321858802.0,8621089984484.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,584.522.397.947,34.254.764.868,618.777.162.815,,,,,584522397947.0,34254764868.0,618777162815.0
- Cổ tức chi trả,Năm nay > - Cổ tức chi trả,- Cổ tức chi trả,-,-,-,-,-,(6.250.000.000),(6.250.000.000),,,,,,-6250000000.0,-6250000000.0
- Tăng/(giảm) khác (*),Năm nay > - Tăng/(giảm) khác (*),- Tăng/(giảm) khác (*),-,-,-,-,1.149.512.242,(196.659.310.242),(195.509.798.000),,,,,1149512242.0,-196659310242.0,-195509798000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.757.111.670.000,989.064.430.000,(364.466.650.000),2.223.693.823,2.904.506.892.048,749.667.313.428,9.038.107.349.299,4757111670000.0,989064430000.0,-364466650000.0,2223693823.0,2904506892048.0,749667313428.0,9038107349299.0
