row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Dự án Khu công nghiệp và Khu đô thị Tràng Cát (i),Dự án Khu công nghiệp và Khu đô thị Tràng Cát (i),Dự án Khu công nghiệp và Khu đô thị Tràng Cát (i),3.475.130.804.472,-,3.545.419.777.465,-,3475130804472.0,,3545419777465.0,
Dự án Khu công nghiệp Tân Phú Trung (ii),Dự án Khu công nghiệp Tân Phú Trung (ii),Dự án Khu công nghiệp Tân Phú Trung (ii),2.458.594.519.135,-,2.560.161.200.730,-,2458594519135.0,,2560161200730.0,
Dự án Khu đô thị Phúc Ninh,Dự án Khu đô thị Phúc Ninh,Dự án Khu đô thị Phúc Ninh,810.973.261.789,-,824.899.200.580,-,810973261789.0,,824899200580.0,
Dự án Khu công nghiệp và đô thị Quang Châu,Dự án Khu công nghiệp và đô thị Quang Châu,Dự án Khu công nghiệp và đô thị Quang Châu,580.352.753.443,-,491.303.116.686,-,580352753443.0,,491303116686.0,
Dự án Khu công nghiệp Nam Sơn - Hạp Lĩnh,Dự án Khu công nghiệp Nam Sơn - Hạp Lĩnh,Dự án Khu công nghiệp Nam Sơn - Hạp Lĩnh,289.689.535.257,-,234.647.430.022,-,289689535257.0,,234647430022.0,
Dự án Khu công nghiệp Quế Võ mở rộng,Dự án Khu công nghiệp Quế Võ mở rộng,Dự án Khu công nghiệp Quế Võ mở rộng,287.319.068.733,-,288.590.532.478,-,287319068733.0,,288590532478.0,
Dự án Khu công nghiệp Tràng Duệ - giai đoạn 2,Dự án Khu công nghiệp Tràng Duệ - giai đoạn 2,Dự án Khu công nghiệp Tràng Duệ - giai đoạn 2,214.387.670.113,-,167.997.623.520,-,214387670113.0,,167997623520.0,
Dự án Khu đô thị Tràng Duệ,Dự án Khu đô thị Tràng Duệ,Dự án Khu đô thị Tràng Duệ,140.383.990.833,-,-,-,140383990833.0,,,
Dự án Khu công nghiệp Quế Võ hiện hữu,Dự án Khu công nghiệp Quế Võ hiện hữu,Dự án Khu công nghiệp Quế Võ hiện hữu,48.533.883.603,-,50.222.049.281,-,48533883603.0,,50222049281.0,
Dự án Khu công nghiệp Tràng Duệ - giai đoạn 1 (iii),Dự án Khu công nghiệp Tràng Duệ - giai đoạn 1 (iii),Dự án Khu công nghiệp Tràng Duệ - giai đoạn 1 (iii),3.692.426.705,-,66.896.049.066,-,3692426705.0,,66896049066.0,
Các dự án khác,Các dự án khác,Các dự án khác,13.566.884.421,-,13.559.498.882,-,13566884421.0,,13559498882.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.322.624.798.504,-,8.243.696.478.710,-,8322624798504.0,,8243696478710.0,
