row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Giá trị,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Giá trị
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty Cổ phần Đầu tư Sài Gòn (i),Ngắn hạn > Công ty Cổ phần Đầu tư Sài Gòn (i),Công ty Cổ phần Đầu tư Sài Gòn (i),583.000.000.000,-,583.000.000.000,-,583000000000.0,,583000000000.0,
Phải thu từ chuyển nhượng cổ phần (ii),Ngắn hạn > Phải thu từ chuyển nhượng cổ phần (ii),Phải thu từ chuyển nhượng cổ phần (ii),565.437.813.547,-,549.714.632.444,-,565437813547.0,,549714632444.0,
Ứng trước cho PVCombank liên quan đến mua khoản đầu tư,Ngắn hạn > Ứng trước cho PVCombank liên quan đến mua khoản đầu tư,Ứng trước cho PVCombank liên quan đến mua khoản đầu tư,211.840.284.000,-,191.690.284.000,-,211840284000.0,,191690284000.0,
Phải thu Công ty Cổ phần Kum-Ba (iii),Ngắn hạn > Phải thu Công ty Cổ phần Kum-Ba (iii),Phải thu Công ty Cổ phần Kum-Ba (iii),163.577.296.000,-,43.875.296.000,-,163577296000.0,,43875296000.0,
Phải thu khác các bên liên quan (Thuyết minh số 29),Ngắn hạn > Phải thu khác các bên liên quan (Thuyết minh số 29),Phải thu khác các bên liên quan (Thuyết minh số 29),55.646.525.842,-,54.869.735.373,-,55646525842.0,,54869735373.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,42.534.859.875,-,27.483.646.530,-,42534859875.0,,27483646530.0,
Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),Ngắn hạn > Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),Phải thu Ủy ban Nhân dân tỉnh Bắc Ninh (iv),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (v),Ngắn hạn > Phải thu tiền đặt cọc (v),Phải thu tiền đặt cọc (v),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu Ủy ban Nhân dân Xã Văn Dương,Ngắn hạn > Phải thu Ủy ban Nhân dân Xã Văn Dương,Phải thu Ủy ban Nhân dân Xã Văn Dương,3.327.780.000,-,3.327.780.000,-,3327780000.0,,3327780000.0,
Bà Quách Thị Nga,Ngắn hạn > Bà Quách Thị Nga,Bà Quách Thị Nga,-,-,113.800.000.000,-,,,113800000000.0,
Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Ngắn hạn > Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Phải thu Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,-,-,21.766.558.152,-,,,21766558152.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,14.274.786.498,-,6.512.554.417,-,14274786498.0,,6512554417.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.671.930.474.166,-,1.628.331.615.320,-,1671930474166.0,,1628331615320.0,
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vi),Dải hạn > Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vi),Công ty Cổ phần Địa ốc Viễn Đông Việt Nam (vi),600.000.000.000,-,-,-,600000000000.0,,,
Công ty Cổ phần Dịch vụ Kinh Bắc (vii),Dải hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (vii),Công ty Cổ phần Dịch vụ Kinh Bắc (vii),70.903.647.915,-,40.925.135.594,-,70903647915.0,,40925135594.0,
Phải thu dài hạn khác,Dải hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,269.000.000,-,268.934.250,-,269000000.0,,268934250.0,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,671.172.647.915,-,41.194.069.844,-,671172647915.0,,41194069844.0,
