row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Đặt cọc mua khu đô thị Phúc Ninh,Ngắn hạn > Đặt cọc mua khu đô thị Phúc Ninh,Đặt cọc mua khu đô thị Phúc Ninh,323.904.532.910,-,323904532910.0,
Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Ngắn hạn > Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,Công ty Cổ phần Tư vấn và Đầu tư Kinh Bắc,5.000.000.000,5.000.000.000,5000000000.0,5000000000.0
Công ty Cổ phần Dịch vụ Kinh Bắc,Ngắn hạn > Công ty Cổ phần Dịch vụ Kinh Bắc,Công ty Cổ phần Dịch vụ Kinh Bắc,10.108.298.365,-,10108298365.0,
Phải trả ông Nguyễn Sơn,Ngắn hạn > Phải trả ông Nguyễn Sơn,Phải trả ông Nguyễn Sơn,-,78.613.649.508,,78613649508.0
"Các khoản phải trả, phải nộp ngắn hạn khác","Ngắn hạn > Các khoản phải trả, phải nộp ngắn hạn khác","Các khoản phải trả, phải nộp ngắn hạn khác",25.301.798.867,43.762.203.034,25301798867.0,43762203034.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,364.314.630.142,127.375.852.542,364314630142.0,127375852542.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Công ty Cổ phần Cơ điện tử và Tin học Cholimex (i),Dải hạn > Công ty Cổ phần Cơ điện tử và Tin học Cholimex (i),Công ty Cổ phần Cơ điện tử và Tin học Cholimex (i),55.500.000.000,55.500.000.000,55500000000.0,55500000000.0
Đặt cọc khác (ii),Dải hạn > Đặt cọc khác (ii),Đặt cọc khác (ii),105.681.960.855,107.966.547.253,105681960855.0,107966547253.0
"Các khoản phải trả, phải nộp dài hạn khác","Dải hạn > Các khoản phải trả, phải nộp dài hạn khác","Các khoản phải trả, phải nộp dài hạn khác",6.450.580.036,-,6450580036.0,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,167.632.540.891,163.466.547.253,167632540891.0,163466547253.0
