row_label_raw,row_label_full,col_0,Trường hợp doanh thu được ghi nhận một lần tại thời điểm bản giao đất,Trường hợp doanh thu được phân bổ trong thời hạn thuê đất,numeric__Trường hợp doanh thu được ghi nhận một lần tại thời điểm bản giao đất,numeric__Trường hợp doanh thu được phân bổ trong thời hạn thuê đất
Doanh thu bán hàng và cung cấp dịch vụ Trong đó:,Doanh thu bán hàng và cung cấp dịch vụ Trong đó:,Doanh thu bán hàng và cung cấp dịch vụ Trong đó:,1.260.198.518.971,559.467.494.755,1260198518971.0,559467494755.0
Doanh thu cho thuê đất và cơ sở hạ tầng,Doanh thu cho thuê đất và cơ sở hạ tầng,Doanh thu cho thuê đất và cơ sở hạ tầng,716.656.729.312,15.925.705.096,716656729312.0,15925705096.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(610.528.435.391),(244.969.258.464),-610528435391.0,-244969258464.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,649.670.083.580,314.498.236.291,649670083580.0,314498236291.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,811.539.933.682,476.368.086.392,811539933682.0,476368086392.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(177.234.691.188),(119.960.209.123),-177234691188.0,-119960209123.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,(15.528.079.679),(72.802.561.745),-15528079679.0,-72802561745.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,618.777.162.815,283.605.315.524,618777162815.0,283605315524.0
