row_label_raw,row_label_full,Ông Đăng Thành Tâm,Chủ tịch Hội đồng Quản trị,col_2,numeric__Chủ tịch Hội đồng Quản trị,numeric__col_2
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Thành viên,,,
Ông Huỳnh Phát,Ông Huỳnh Phát,Ông Huỳnh Phát,Thành viên,,,
Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Ông Phạm Phúc Hiếu,Thành viên,,,
Ông Nguyễn Vĩnh Thọ,Ông Nguyễn Vĩnh Thọ,Ông Nguyễn Vĩnh Thọ,Thành viên,Bổ nhiệm ngày 22 tháng 4 năm 2017,,
Ông Ngô Mạnh Hùng,Ông Ngô Mạnh Hùng,Ông Ngô Mạnh Hùng,Thành viên,Miễn nhiệm ngày 22 tháng 4 năm 2017,,
