row_label_raw,row_label_full,KBC Bond004 > KBCbond01-2017 > KBCbond2-2017 > KBCbond3-2017 > KBCbond4-2017 > KBCBond2017 > 003/2009/TPSCD01/HĐMB,Loại trái phiếu > Trái phiếu doanh nghiệp phát hành cho PVCombank > Trái phiếu doanh nghiệp phát hành cho BIDV Bắc Sài Gòn > Trái phiếu doanh nghiệp phát hành cho các đối tượng > Trái phiếu doanh nghiệp có bảo lãnh của Ngân hàng Thương mại Cổ phần Quốc dân,Số lượngtrải phiếu > 3.000.000 > 480 > 2.000.000 > 1.500.000 > 2.000.000 > 5.000.000 > 644.628,Mệnh giá VND > 100.000 > 1.000.000.000 > 100.000,Giá trịVND > 300.000.000.000 > 480.000.000.000 > 200.000.000.000 > 150.000.000.000 > 200.000.000.000 > 500.000.000.000 > 32.131.072.676,"Lãi suấttrong năm > 9,7% > 10,18% > 10,5% > 12,5%",Thời hạntrải phiếu > 31 tháng10 năm2019 > 21 tháng11 năm2022 > 26 tháng1 năm2019 > 16 tháng2 năm2019 > 22 tháng5 năm2019 > 8 tháng11 năm2018 > 18 tháng12 năm2019,"Tài sản đãm bảo > Thế chấp bằng giá trị hàng tồn kho của Dự án Đầu tư xây dựng Khu đô thị và Dịch vụ Tràng Cát > Quyền sử dụng đất và tài sản gắn liền với đất tại Hùng Vương, phường Hải Châu 1, Quận Hải Châu, thành phố Đà Nẵng thuộc sở hữu của Công ty Cổ phần Địa Óc Viễn Đông Việt Nam > KBCbond2-2017, KBCbond3-2017, KBCbond4-2017 và KBC Bond2017 được thế chấp bằng cổ phần của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng. > Lô đất B1, B2, B4, B5, B6 theo Hợp đồng thế chấp tài sản số 570/14/HĐTC-BĐS/101-11 ngày 31 tháng 12 năm 2014",numeric__Loại trái phiếu > Trái phiếu doanh nghiệp phát hành cho PVCombank > Trái phiếu doanh nghiệp phát hành cho BIDV Bắc Sài Gòn > Trái phiếu doanh nghiệp phát hành cho các đối tượng > Trái phiếu doanh nghiệp có bảo lãnh của Ngân hàng Thương mại Cổ phần Quốc dân,numeric__Số lượngtrải phiếu > 3.000.000 > 480 > 2.000.000 > 1.500.000 > 2.000.000 > 5.000.000 > 644.628,numeric__Mệnh giá VND > 100.000 > 1.000.000.000 > 100.000,numeric__Giá trịVND > 300.000.000.000 > 480.000.000.000 > 200.000.000.000 > 150.000.000.000 > 200.000.000.000 > 500.000.000.000 > 32.131.072.676,"numeric__Lãi suấttrong năm > 9,7% > 10,18% > 10,5% > 12,5%",numeric__Thời hạntrải phiếu > 31 tháng10 năm2019 > 21 tháng11 năm2022 > 26 tháng1 năm2019 > 16 tháng2 năm2019 > 22 tháng5 năm2019 > 8 tháng11 năm2018 > 18 tháng12 năm2019,"numeric__Tài sản đãm bảo > Thế chấp bằng giá trị hàng tồn kho của Dự án Đầu tư xây dựng Khu đô thị và Dịch vụ Tràng Cát > Quyền sử dụng đất và tài sản gắn liền với đất tại Hùng Vương, phường Hải Châu 1, Quận Hải Châu, thành phố Đà Nẵng thuộc sở hữu của Công ty Cổ phần Địa Óc Viễn Đông Việt Nam > KBCbond2-2017, KBCbond3-2017, KBCbond4-2017 và KBC Bond2017 được thế chấp bằng cổ phần của Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng. > Lô đất B1, B2, B4, B5, B6 theo Hợp đồng thế chấp tài sản số 570/14/HĐTC-BĐS/101-11 ngày 31 tháng 12 năm 2014"
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(19.609.515.158),,,,,,,-19609515158.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,18.300.000,,1.842.521.557.518,,,,,18300000.0,,1842521557518.0,,,
Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,Trái phiếu phải thanh toán trong năm tới,800.000.000.000,,,,,,,800000000000.0,,,
Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,1.062.131.072.676,,,,,,,1062131072676.0,,,
Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu thanh toán trong dài hạn,(19.609.515.158),,,,,,,-19609515158.0,,,
