row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,50.797.226.908,50.797.226.908,-,(50.797.226.908),-,-,50797226908.0,50797226908.0,,-50797226908.0,,
Vay các đối tượng khác (*),Vay ngắn hạn > Vay các đối tượng khác (*),Vay các đối tượng khác (*),25.935.378.567,25.935.378.567,-,-,25.935.378.567,25.935.378.567,25935378567.0,25935378567.0,,,25935378567.0,25935378567.0
Vay dài hạn đến hạn trả (Thuyết minh số 20.1 và Thuyết minh số 20.2),Vay ngắn hạn > Vay dài hạn đến hạn trả (Thuyết minh số 20.1 và Thuyết minh số 20.2),Vay dài hạn đến hạn trả (Thuyết minh số 20.1 và Thuyết minh số 20.2),672.371.424.645,672.371.424.645,993.502.560.000,(672.371.424.645),993.502.560.000,993.502.560.000,672371424645.0,672371424645.0,993502560000.0,-672371424645.0,993502560000.0,993502560000.0
Vay ngắn hạn các bên liên quan (Thuyết minh số 29),Vay ngắn hạn > Vay ngắn hạn các bên liên quan (Thuyết minh số 29),Vay ngắn hạn các bên liên quan (Thuyết minh số 29),113.830.830.000,113.830.830.000,-,(1.500.000.000),112.330.830.000,112.330.830.000,113830830000.0,113830830000.0,,-1500000000.0,112330830000.0,112330830000.0
,,,862.934.860.120,862.934.860.120,993.502.560.000,(724.668.651.553),1.131.768.768.567,1.131.768.768.567,862934860120.0,862934860120.0,993502560000.0,-724668651553.0,1131768768567.0,1131768768567.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay dài hạn ngân hàng (Thuyết minh số 20.1),Vay dài hạn > Vay dài hạn ngân hàng (Thuyết minh số 20.1),Vay dài hạn ngân hàng (Thuyết minh số 20.1),725.093.278.414,725.093.278.414,152.300.278.250,(329.257.045.206),548.136.511.458,548.136.511.458,725093278414.0,725093278414.0,152300278250.0,-329257045206.0,548136511458.0,548136511458.0
Trái phiếu (Thuyết minh số 20.2),Vay dài hạn > Trái phiếu (Thuyết minh số 20.2),Trái phiếu (Thuyết minh số 20.2),379.506.171.373,379.506.171.373,930.000.000.000,(266.984.613.855),1.042.521.557.518,1.042.521.557.518,379506171373.0,379506171373.0,930000000000.0,-266984613855.0,1042521557518.0,1042521557518.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.104.599.449.787,1.104.599.449.787,1.082.300.278.250,(596.241.659.061),1.590.658.068.976,1.590.658.068.976,1104599449787.0,1104599449787.0,1082300278250.0,-596241659061.0,1590658068976.0,1590658068976.0
