row_label_raw,row_label_full,Ngân hàng > Các khoản vay ngân hàng bằng VND > Các khoản vay ngân hàng bằng USD,Số cuối năm VND > 779.175.133.456 > 16.884.491.098,"Kỳ hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 5 năm. Lãi vay trả hàng tháng ngày 15 đến 25. > Gốc vay được trả lần cuối vào tháng 12 năm 2021. Lãi vay trả hàng tháng.","Lãi suất/năm > 8% - 11,5% > 5,5%",numeric__Số cuối năm VND > 779.175.133.456 > 16.884.491.098,"numeric__Kỳ hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 5 năm. Lãi vay trả hàng tháng ngày 15 đến 25. > Gốc vay được trả lần cuối vào tháng 12 năm 2021. Lãi vay trả hàng tháng.","numeric__Lãi suất/năm > 8% - 11,5% > 5,5%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,796.059.624.554,,,796059624554.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,5.548.000.000,,,5548000000.0,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,790.511.624.554,,,790511624554.0,,
"Toàn bộ các khoản vay dài hạn nếu trên đều là vay có tài sản đảm bảo. Các các khoản vay có tài sản đảm bảo được thế chấp bằng một số máy móc thiết bị, phương tiện vận tải, các tài sản gắn liền với đất, giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và lợi thế quyền thuê đất, quyền sử dụng hạ tầng trên đất, các hạng mục trên đất và tài sản khác theo các Hợp đồng thế chấp liên quan như được trình bày ở các thuyết minh tương ứng.","Toàn bộ các khoản vay dài hạn nếu trên đều là vay có tài sản đảm bảo. Các các khoản vay có tài sản đảm bảo được thế chấp bằng một số máy móc thiết bị, phương tiện vận tải, các tài sản gắn liền với đất, giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và lợi thế quyền thuê đất, quyền sử dụng hạ tầng trên đất, các hạng mục trên đất và tài sản khác theo các Hợp đồng thế chấp liên quan như được trình bày ở các thuyết minh tương ứng.","Toàn bộ các khoản vay dài hạn nếu trên đều là vay có tài sản đảm bảo. Các các khoản vay có tài sản đảm bảo được thế chấp bằng một số máy móc thiết bị, phương tiện vận tải, các tài sản gắn liền với đất, giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và lợi thế quyền thuê đất, quyền sử dụng hạ tầng trên đất, các hạng mục trên đất và tài sản khác theo các Hợp đồng thế chấp liên quan như được trình bày ở các thuyết minh tương ứng.","Toàn bộ các khoản vay dài hạn nếu trên đều là vay có tài sản đảm bảo. Các các khoản vay có tài sản đảm bảo được thế chấp bằng một số máy móc thiết bị, phương tiện vận tải, các tài sản gắn liền với đất, giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và lợi thế quyền thuê đất, quyền sử dụng hạ tầng trên đất, các hạng mục trên đất và tài sản khác theo các Hợp đồng thế chấp liên quan như được trình bày ở các thuyết minh tương ứng.","Toàn bộ các khoản vay dài hạn nếu trên đều là vay có tài sản đảm bảo. Các các khoản vay có tài sản đảm bảo được thế chấp bằng một số máy móc thiết bị, phương tiện vận tải, các tài sản gắn liền với đất, giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và lợi thế quyền thuê đất, quyền sử dụng hạ tầng trên đất, các hạng mục trên đất và tài sản khác theo các Hợp đồng thế chấp liên quan như được trình bày ở các thuyết minh tương ứng.","Toàn bộ các khoản vay dài hạn nếu trên đều là vay có tài sản đảm bảo. Các các khoản vay có tài sản đảm bảo được thế chấp bằng một số máy móc thiết bị, phương tiện vận tải, các tài sản gắn liền với đất, giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và lợi thế quyền thuê đất, quyền sử dụng hạ tầng trên đất, các hạng mục trên đất và tài sản khác theo các Hợp đồng thế chấp liên quan như được trình bày ở các thuyết minh tương ứng.",,,
