row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,Bất động sản đầu tưkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Bất động sản đầu tưkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,-,-,,,,,
- Tăng trong năm,Số đầu năm > - Tăng trong năm,- Tăng trong năm,175.801.488.156,36.395.031.765,2.851.715.129,13.488.249.954,228.536.485.004,175801488156.0,36395031765.0,2851715129.0,13488249954.0,228536485004.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,175.801.488.156,36.395.031.765,2.851.715.129,13.488.249.954,228.536.485.004,175801488156.0,36395031765.0,2851715129.0,13488249954.0,228536485004.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,,,
- Khấu hao trong năm,Số đầu năm > - Khấu hao trong năm,- Khấu hao trong năm,2.987.066.178,1.807.374.856,210.259.100,715.674.906,5.720.375.040,2987066178.0,1807374856.0,210259100.0,715674906.0,5720375040.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,2.987.066.178,1.807.374.856,210.259.100,715.674.906,5.720.375.040,2987066178.0,1807374856.0,210259100.0,715674906.0,5720375040.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,-,-,,,,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,172.814.421.978,34.587.656.909,2.641.456.029,12.772.575.048,222.816.109.964,172814421978.0,34587656909.0,2641456029.0,12772575048.0,222816109964.0
"Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.","Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.","Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.","Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.","Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.","Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.","Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.","Một số bất động sản đầu tư với giá trị còn lại khoảng 69,8 tỷ VND đã được sử dụng làm tài sản thế chấp cho các khoản vay của Nhóm Công ty nhưđược trình bày tại Thuyết minh số 22.",,,,,
"Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.","Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.","Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.","Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.","Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.","Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.","Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.","Tại ngày 31 tháng 12 năm 2019, Nhóm Công ty đang trong quá trình thu thập các dữ liệu cần thiết để xác định giá trị hợp lý của các bất động sảnđầu tư này.",,,,,
