row_label_raw,row_label_full,Ông Nguyễn Lê Trung,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Phó Tổng Giám đốc,,,
Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Bà Trần Thị Thoàn,Phó Tổng Giám đốc,,,
Bà Đặng Thị Quỳnh Phương,Bà Đặng Thị Quỳnh Phương,Bà Đặng Thị Quỳnh Phương,Phó Tổng Giám đốc,,,
Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Ông Ngô Văn Thụ,Phó Tổng Giám đốc,Bổ nhiệm ngày 15 tháng 8 năm 2019,,
