row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Dự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),981.626.082.192,981.626.082.192,-,360.006.460.274,360.006.460.274,-,981626082192.0,981626082192.0,,360006460274.0,360006460274.0,
Trái phiếu (ii),Trái phiếu (ii),Trái phiếu (ii),210.526.000.000,210.526.000.000,-,360.900.000.000,360.900.000.000,-,210526000000.0,210526000000.0,,360900000000.0,360900000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.192.152.082.192,1.192.152.082.192,-,720.906.460.274,720.906.460.274,-,1192152082192.0,1192152082192.0,,720906460274.0,720906460274.0,
