row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty trong cùng Tập đoàn,Phải thu khác,12.849.375.000,-,,,12849375000.0,
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Phải thu lãi cho vay,2.760.655.490,2.134.599.617,,,2760655490.0,2134599617.0
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,-,17.468.187.274,,,,17468187274.0
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,3.048.000.000,3.120.000.000,,,3048000000.0,3120000000.0
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,-,1.840.152.864,,,,1840152864.0
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Lãnh đạo chủ chốt,Phải thu từ chi trả hộ và tạm ứng,-,1.809.849.725,,,,1809849725.0
,,,,,18.658.030.490,26.372.789.480,,,18658030490.0,26372789480.0
Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),,,,
Công ty An Phát Holdings,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Phải trả khác,-,452.047.733,,,,452047733.0
,,,,,-,452.047.733,,,,452047733.0
Vay và nợ (Thuyết minh số 22),Vay và nợ (Thuyết minh số 22),Vay và nợ (Thuyết minh số 22),Vay và nợ (Thuyết minh số 22),Vay và nợ (Thuyết minh số 22),Vay và nợ (Thuyết minh số 22),Vay và nợ (Thuyết minh số 22),,,,
Công ty An Phát Holdings (*),Vay và nợ (Thuyết minh số 22) > Công ty An Phát Holdings (*),Công ty An Phát Holdings (*),Công ty mẹ,Đi vay,-,9.000.000.000,,,,9000000000.0
,,,,,-,9.000.000.000,,,,9000000000.0
