row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thăng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thăng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,835.999.880.000,198.063.767.329,158.818.819,45.683.661.717,13.177.404.323,283.769.575.300,248.117.181.134,1.624.970.288.622,835999880000.0,198063767329.0,158818819.0,45683661717.0,13177404323.0,283769575300.0,248117181134.0,1624970288622.0
- Tăng vốn trong năm,Năm trước > - Tăng vốn trong năm,- Tăng vốn trong năm,875.999.880.000,334.048.922.000,-,-,-,-,203.193.000.000,1.413.241.802.000,875999880000.0,334048922000.0,,,,,203193000000.0,1413241802000.0
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,180.260.475.000,31.888.438.561,212.148.913.561,,,,,,180260475000.0,31888438561.0,212148913561.0
- Trích quỹ đầu tư phát triển,Năm trước > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,12.091.721.427,-,(12.091.721.427),-,-,,,,12091721427.0,,-12091721427.0,,
"- Trích quỹ khen thưởng, phúc lợi","Năm trước > - Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(47.526.405.960),(3.972.632.642),(51.499.038.602),,,,,,-47526405960.0,-3972632642.0,-51499038602.0
- Chia cổ tức,Năm trước > - Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(125.399.982.000),(10.760.000.000),(136.159.982.000),,,,,,-125399982000.0,-10760000000.0,-136159982000.0
- Giảm do thay đổi tỷ lệ sở hữu trong công ty con,Năm trước > - Giảm do thay đổi tỷ lệ sở hữu trong công ty con,- Giảm do thay đổi tỷ lệ sở hữu trong công ty con,-,-,-,-,-,(13.151.806.249),(69.139.445.751),(82.291.252.000),,,,,,-13151806249.0,-69139445751.0,-82291252000.0
- Chuyển nhượng công ty con,Năm trước > - Chuyển nhượng công ty con,- Chuyển nhượng công ty con,-,-,(628.177.079),-,-,,37.951.172,(590.225.907),,,-628177079.0,,,,37951172.0,-590225907.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính của công ty con cho mục đích hợp nhất,Năm trước > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính của công ty con cho mục đích hợp nhất,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính của công ty con cho mục đích hợp nhất,-,-,429.643.017,-,-,-,-,429.643.017,,,429643017.0,,,,,429643017.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,1.711.999.760.000,532.112.689.329,(39.715.243),57.775.383.144,13.177.404.323,265.860.134.664,399.364.492.474,2.980.250.148.691,1711999760000.0,532112689329.0,-39715243.0,57775383144.0,13177404323.0,265860134664.0,399364492474.0,2980250148691.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.711.999.760.000,532.112.689.329,(39.715.243),57.775.383.144,13.177.404.323,265.860.134.664,399.364.492.474,2.980.250.148.691,1711999760000.0,532112689329.0,-39715243.0,57775383144.0,13177404323.0,265860134664.0,399364492474.0,2980250148691.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,460.465.909.779,30.562.962.890,491.028.872.669,,,,,,460465909779.0,30562962890.0,491028872669.0
- Trích quỹ đầu tư phát triển (*),Năm nay > - Trích quỹ đầu tư phát triển (*),- Trích quỹ đầu tư phát triển (*),-,-,-,9.483.475.907,-,(9.483.475.907),-,-,,,,9483475907.0,,-9483475907.0,,
"- Trích quỹ khen thưởng, phúc lợi (*)","Năm nay > - Trích quỹ khen thưởng, phúc lợi (*)","- Trích quỹ khen thưởng, phúc lợi (*)",-,-,-,-,-,(37.718.929.467),(3.804.622.482),(41.523.551.949),,,,,,-37718929467.0,-3804622482.0,-41523551949.0
- Chia cổ tức (**),Năm nay > - Chia cổ tức (**),- Chia cổ tức (**),-,-,-,-,-,(85.599.988.000),(11.760.000.000),(97.359.988.000),,,,,,-85599988000.0,-11760000000.0,-97359988000.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính của công ty con cho mục đích hợp nhất,Năm nay > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính của công ty con cho mục đích hợp nhất,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính của công ty con cho mục đích hợp nhất,-,-,(298.062.826),-,-,-,-,(298.062.826),,,-298062826.0,,,,,-298062826.0
- Chuyển nhượng công ty con,Năm nay > - Chuyển nhượng công ty con,- Chuyển nhượng công ty con,-,-,-,-,-,1.119.496.804,(77.589.327.575),(76.469.830.771),,,,,,1119496804.0,-77589327575.0,-76469830771.0
- Tăng/(giám) khác,Năm nay > - Tăng/(giám) khác,- Tăng/(giám) khác,-,-,-,-,-,8.042.744.923,(8.432.139.567),(389.394.644),,,,,,8042744923.0,-8432139567.0,-389394644.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,1.711.999.760.000,532.112.689.329,(337.778.069),67.258.859.051,13.177.404.323,602.685.892.796,328.341.365.740,3.255.238.193.170,1711999760000.0,532112689329.0,-337778069.0,67258859051.0,13177404323.0,602685892796.0,328341365740.0,3255238193170.0
