row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Doanh thu bán hàng và cung cấp dịch vụ,Nhận nợ vay,Trả gốc vay,Cho vay,Thu tiền cho vay,Trả cổ tức,Tạm ứng,Đơn vị tính: VNDTiền thu từ bán công ty con(Thuyết minh số 4),numeric__Mối quan hệ,numeric__Doanh thu bán hàng và cung cấp dịch vụ,numeric__Nhận nợ vay,numeric__Trả gốc vay,numeric__Cho vay,numeric__Thu tiền cho vay,numeric__Trả cổ tức,numeric__Tạm ứng,numeric__Đơn vị tính: VNDTiền thu từ bán công ty con(Thuyết minh số 4)
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,1.617.753.276,33.000.000.000,42.000.000.000,7.000.000.000,38.050.000.000,46.353.570.000,,80.000.000.000,,1617753276.0,33000000000.0,42000000000.0,7000000000.0,38050000000.0,46353570000.0,,80000000000.0
Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty Nhựa Hà Nội,Công ty liên kết của công ty mẹ,94.409.239.007,,,,,,,,,94409239007.0,,,,,,,
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty trong cùng Tập đoàn,29.007.696.507,,,,,,,,,29007696507.0,,,,,,,
Công ty TNHH Linh kiện nhựa ở tô Vinfast – An Phát,Công ty TNHH Linh kiện nhựa ở tô Vinfast – An Phát,Công ty TNHH Linh kiện nhựa ở tô Vinfast – An Phát,Công ty liên doanh của công ty mẹ,1.864.857.050,,,,,,,,,1864857050.0,,,,,,,
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Lãnh đạo chủ chốt,,,,,,,11.783.801.376,,,,,,,,,11783801376.0,
