row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu,Số đã thu,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải thu,numeric__Số đã thu,numeric__Đơn vị tính: VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,2.703.873.259,-,(1.368.620.030),1.335.253.229,2703873259.0,,-1368620030.0,1335253229.0
Thuế phí khác,Phải thu > Thuế phí khác,Thuế phí khác,1.982.200,-,(1.982.200),-,1982200.0,,-1982200.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,2.705.855.459,-,(1.370.602.230),1.335.253.229,2705855459.0,,-1370602230.0,1335253229.0
,,,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,238.150.419.001,(237.731.442.664),418.976.337,,238150419001.0,-237731442664.0,418976337.0
Thuế xuất nhập khẩu,Phải nộp > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,7.730.343.727,(7.730.343.727),-,,7730343727.0,-7730343727.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,13.434.727.146,83.467.221.660,(70.836.567.195),26.065.381.611,13434727146.0,83467221660.0,-70836567195.0,26065381611.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,650.270.934,5.691.541.384,(5.987.995.540),353.816.778,650270934.0,5691541384.0,-5987995540.0,353816778.0
Thuế phí khác,Phải nộp > Thuế phí khác,Thuế phí khác,-,1.587.797.279,(1.477.482.279),110.315.000,,1587797279.0,-1477482279.0,110315000.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,14.084.998.080,336.627.323.051,(323.763.831.405),26.948.489.726,14084998080.0,336627323051.0,-323763831405.0,26948489726.0
