row_label_raw,row_label_full,Việt Nam,Đơn vị tính: VND > Năm trước > 6.354.782.086.338,numeric__Đơn vị tính: VND > Năm trước > 6.354.782.086.338
Cộng hòa Singapore,Cộng hòa Singapore,Cộng hòa Singapore,134.917.210.302,134917210302.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.489.699.296.640,6489699296640.0
