row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty trong cùng Tập đoàn,"Bán hàng hóa, máy móc",26.227.603.244,-,,,26227603244.0,
Công ty Cổ Phần tập đoàn An phát Holdings,Công ty Cổ Phần tập đoàn An phát Holdings,Công ty Cổ Phần tập đoàn An phát Holdings,Công ty mẹ,Bán hàng hóa,380.876.665,1.516.449.411,,,380876665.0,1516449411.0
Các bên khác,Các bên khác,Các bên khác,,Bán hàng hóa,1.535.121.775,-,,,1535121775.0,
,,,,,28.143.601.684,1.516.449.411,,,28143601684.0,1516449411.0
Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),Phải thu về cho vay (Thuyết minh số 8),,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Công ty An Phát Holdings,Ngắn hạn > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Cho vay,1.000.000.000,76.468.000.000,,,1000000000.0,76468000000.0
Công ty An Trung,Ngắn hạn > Công ty An Trung,Công ty An Trung,Công ty trong cùng Tập đoàn,Cho vay,8.744.706.849,-,,,8744706849.0,
,,,,,9.744.706.849,76.468.000.000,,,9744706849.0,76468000000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Công ty An Phát Holdings,Dài hạn > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Cho vay,30.000.000.000,-,,,30000000000.0,
,,,,,30.000.000.000,-,,,30000000000.0,
