row_label_raw,row_label_full,Bên nhận đầu tư,Vốn góp của bên nhận đầu tư,Cam kết góp vốn của Nhóm Công ty,Cam kết góp vốn của Nhóm Công ty_1,Số vốn thực góp,Số vốn chưa góp,numeric__Vốn góp của bên nhận đầu tư,numeric__Cam kết góp vốn của Nhóm Công ty,numeric__Cam kết góp vốn của Nhóm Công ty_1,numeric__Số vốn thực góp,numeric__Số vốn chưa góp
Bên nhận đầu tư,Bên nhận đầu tư,Bên nhận đầu tư,VND,Số tiền VND,%,VND,VND,,,,,
Công ty Sunrise,Bên nhận đầu tư > Công ty Sunrise,Công ty Sunrise,50.000.000.000,24.000.000.000,48,15.236.000.000,8.764.000.000,50000000000.0,24000000000.0,48.0,15236000000.0,8764000000.0
