row_label_raw,row_label_full,Việt Nam,Đơn vị tính: VND > Năm trước > 6.742.890.852.598,numeric__Đơn vị tính: VND > Năm trước > 6.742.890.852.598
Cộng hòa Singapore,Cộng hòa Singapore,Cộng hòa Singapore,1.268.681.760.791,1268681760791.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.011.572.613.389,8011572613389.0
