row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngắn hàng,Vay ngắn hạn > Vay ngắn hàng,Vay ngắn hàng,22.1,2.465.407.792.801,2.465.407.792.801,7.594.876.757.387,(7.665.745.975.585),2.394.538.574.603,2.394.538.574.603,221.0,2465407792801.0,2465407792801.0,7594876757387.0,-7665745975585.0,2394538574603.0,2394538574603.0
Vay đổi tượng khác,Vay ngắn hạn > Vay đổi tượng khác,Vay đổi tượng khác,,17.998.900.000,17.998.900.000,4.400.000.000,(22.398.900.000),-,-,,17998900000.0,17998900000.0,4400000000.0,-22398900000.0,,
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,-,-,5.548.000.000,-,5.548.000.000,5.548.000.000,,,,5548000000.0,,5548000000.0,5548000000.0
Vay bên liên quan (Thuyết minh số 31),Vay ngắn hạn > Vay bên liên quan (Thuyết minh số 31),Vay bên liên quan (Thuyết minh số 31),,9.000.000.000,9.000.000.000,33.000.000.000,(42.000.000.000),-,-,,9000000000.0,9000000000.0,33000000000.0,-42000000000.0,,
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.492.406.692.801,2.492.406.692.801,7.637.824.757.387,(7.730.144.875.585),2.400.086.574.603,2.400.086.574.603,,2492406692801.0,2492406692801.0,7637824757387.0,-7730144875585.0,2400086574603.0,2400086574603.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngắn hàng (*),Vay dài hạn > Vay ngắn hàng (*),Vay ngắn hàng (*),22.2,651.879.153.459,651.879.153.459,395.475.686.801,(256.843.215.706),790.511.624.554,790.511.624.554,222.0,651879153459.0,651879153459.0,395475686801.0,-256843215706.0,790511624554.0,790511624554.0
Vay đổi tượng khác,Vay dài hạn > Vay đổi tượng khác,Vay đổi tượng khác,,24.861.600.000,24.861.600.000,-,(24.861.600.000),-,-,,24861600000.0,24861600000.0,,-24861600000.0,,
Trái phiếu phát hành,Vay dài hạn > Trái phiếu phát hành,Trái phiếu phát hành,22.3,666.063.136.363,666.063.136.363,4.935.363.632,(90.000.000.000),580.998.499.995,580.998.499.995,223.0,666063136363.0,666063136363.0,4935363632.0,-90000000000.0,580998499995.0,580998499995.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.342.803.889.822,1.342.803.889.822,400.411.050.433,(371.704.815.706),1.371.510.124.549,1.371.510.124.549,,1342803889822.0,1342803889822.0,400411050433.0,-371704815706.0,1371510124549.0,1371510124549.0
