row_label_raw,row_label_full,"Đầu tư vào công ty liên kếtCông ty Cổ phần Sản xuấtTổng hợp Sunrise Việt Nam(""Công ty Sunrise"") (*) > Đầu tư nắm giữ đến ngàyđáo hạn",Số cuối năm > Giá gốc > 15.179.449.802,Số cuối năm > Dự phòng > -,Số cuối năm > Giá trị hợp lý > -,Đơn vị tính: VND > Số đầu năm > Giá gốc > -,Đơn vị tính: VND > Số đầu năm > Dự phòng > -,Đơn vị tính: VND > Số đầu năm > Giá trị hợp lý > -,numeric__Số cuối năm > Giá gốc > 15.179.449.802,numeric__Số cuối năm > Dự phòng > -,numeric__Số cuối năm > Giá trị hợp lý > -,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc > -,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng > -,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị hợp lý > -
Tiền gửi có kỳ hạn (Thuyếtminh số 16.2),Tiền gửi có kỳ hạn (Thuyếtminh số 16.2),Tiền gửi có kỳ hạn (Thuyếtminh số 16.2),30.000.000.000,-,-,-,-,-,30000000000.0,,,,,
Đầu tư trái phiếu (Thuyếtminh số 16.2),Đầu tư trái phiếu (Thuyếtminh số 16.2),Đầu tư trái phiếu (Thuyếtminh số 16.2),78.380.000.000,-,-,48.380.000.000,-,-,78380000000.0,,,48380000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,123.559.449.802,-,-,48.380.000.000,-,-,123559449802.0,,,48380000000.0,,
