row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
- Tiền gửi có kỳ hạn (*),- Tiền gửi có kỳ hạn (*),- Tiền gửi có kỳ hạn (*),30.000.000.000,30.000.000.000,-,-,30000000000.0,30000000000.0,,
- Đầu tư trái phiếu (**),- Đầu tư trái phiếu (**),- Đầu tư trái phiếu (**),78.380.000.000,78.380.000.000,48.380.000.000,48.380.000.000,78380000000.0,78380000000.0,48380000000.0,48380000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,108.380.000.000,108.380.000.000,48.380.000.000,48.380.000.000,108380000000.0,108380000000.0,48380000000.0,48380000000.0
