row_label_raw,row_label_full,col_0,Ngành nghề,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Ngành nghề,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Ngành nghề,Tỷ lệ lợi ích(%),Tỷ lệ biểu quyết(%),Tỷ lệ lợi ích(%),Tỷ lệ biểu quyết(%),,,,,
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Sản xuất plastic và cao su tổng hợp dạng nguyên sinh,"11,74%",48%,-,-,,0.1174,0.48,,
