row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng giá trị đầu tư > Số cuối năm,Đơn vị tính: VND > Công ty Sunrise Việt Nam > Giá trị đầu tư: > - > 15.236.000.000,numeric__Đơn vị tính: VND > Công ty Sunrise Việt Nam > Giá trị đầu tư: > - > 15.236.000.000
Lỗ từ công ty liên kết kể từ thời điểm mua:,Lỗ từ công ty liên kết kể từ thời điểm mua:,Lỗ từ công ty liên kết kể từ thời điểm mua:,Lỗ từ công ty liên kết kể từ thời điểm mua:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Lỗ trong năm,Số đầu năm > Lỗ trong năm,Lỗ trong năm,(56.550.198),-56550198.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,(56.550.198),-56550198.0
Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,15.179.449.802,15179449802.0
