row_label_raw,row_label_full,col_0,USD duroc quy đổi triệu đồng,EUR duroc quy đổi triệu đồng,Ngoại tệ khác quy đổi triệu đồng,Tổng cộng triệu đồng,numeric__USD duroc quy đổi triệu đồng,numeric__EUR duroc quy đổi triệu đồng,numeric__Ngoại tệ khác quy đổi triệu đồng,numeric__Tổng cộng triệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,
"Tiền mặt, vàng bạc, đã quý","Tải sản > Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",217.431,230.138,123.100,570.669,217431.0,230138.0,123100.0,570669.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,2.337.948,1.434,299.323,2.638.705,2337948.0,1434.0,299323.0,2638705.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),8.519.647,689.940,224.571,9.434.158,8519647.0,689940.0,224571.0,9434158.0
Cho vay và ứng trước khách hàng (*),Tải sản > Cho vay và ứng trước khách hàng (*),Cho vay và ứng trước khách hàng (*),23.821.123,-,651.124,24.472.247,23821123.0,,651124.0,24472247.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),4.628.000,-,39.456,4.667.456,4628000.0,,39456.0,4667456.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,2.854,-,2.854,,2854.0,,2854.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,8.978,-,1.286,10.264,8978.0,,1286.0,10264.0
Tải sản cố khác (*),Tải sản > Tải sản cố khác (*),Tải sản cố khác (*),5.137.478,683.604,61.519,5.882.601,5137478.0,683604.0,61519.0,5882601.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,44.670.605,1.607.970,1.400.379,47.678.954,44670605.0,1607970.0,1400379.0,47678954.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,20.595.160,181.139,261.485,21.037.784,20595160.0,181139.0,261485.0,21037784.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20.035.232,5.066.149,556.998,25.658.379,20035232.0,5066149.0,556998.0,25658379.0
Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,5.319.707,(3.182.925),631.019,2.767.801,5319707.0,-3182925.0,631019.0,2767801.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),1.570.498,6.574,43.381,1.620.453,1570498.0,6574.0,43381.0,1620453.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,47.520.597,2.070.937,1.492.883,51.084.417,47520597.0,2070937.0,1492883.0,51084417.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(2.849.992),(462.967),(92.504),(3.405.463),-2849992.0,-462967.0,-92504.0,-3405463.0
