row_label_raw,row_label_full,col_0,Dư phòng chung triệu đồng,Dư phòng cụ thể triệu đồng,Tổng công triệu đồng,numeric__Dư phòng chung triệu đồng,numeric__Dư phòng cụ thể triệu đồng,numeric__Tổng công triệu đồng
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,1.735.741,1.267.886,3.003.627,1735741.0,1267886.0,3003627.0
Trích lập trong năm (Thuyết minh số 33),Trích lập trong năm (Thuyết minh số 33),Trích lập trong năm (Thuyết minh số 33),347.568,4.145.763,4.493.331,347568.0,4145763.0,4493331.0
Xử lý rủi ro tín dụng trong năm,Xử lý rủi ro tín dụng trong năm,Xử lý rủi ro tín dụng trong năm,-,(3.363.122),(3.363.122),,-3363122.0,-3363122.0
Điều chỉnh theo kết quả kiểm toán năm trước của chỉ nhánh nước ngoài,Điều chỉnh theo kết quả kiểm toán năm trước của chỉ nhánh nước ngoài,Điều chỉnh theo kết quả kiểm toán năm trước của chỉ nhánh nước ngoài,-,(4.538),(4.538),,-4538.0,-4538.0
Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,(166),(876),(1.042),-166.0,-876.0,-1042.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,2.083.143,2.045.113,4.128.256,2083143.0,2045113.0,4128256.0
