row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2020 triệu đồng,31/12/2019 triệu đồng,numeric__Thuyết minh,numeric__31/12/2020 triệu đồng,numeric__31/12/2019 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mật, vàng bạc, đá quý","TÀI SẢN > Tiền mật, vàng bạc, đá quý","Tiền mật, vàng bạc, đá quý",5,3.108.249,2.339.683,5.0,3108249.0,2339683.0
Tiền gửi tại Ngân hàng Nhà nước,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,6,17.286.855,14.338.075,6.0,17286855.0,14338075.0
Tiền gửi và cho vay các tổ chức tin dụng khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tin dụng khác,Tiền gửi và cho vay các tổ chức tin dụng khác,7,50.248.113,40.770.069,7.0,50248113.0,40770069.0
Tiền gửi tại các tổ chức tin dụng khác,TÀI SẢN > Tiền gửi tại các tổ chức tin dụng khác,Tiền gửi tại các tổ chức tin dụng khác,,46.555.805,32.641.295,,46555805.0,32641295.0
Cho vay các tổ chức tin dụng khác,TÀI SẢN > Cho vay các tổ chức tin dụng khác,Cho vay các tổ chức tin dụng khác,,3.692.308,8.324.774,,3692308.0,8324774.0
Dự phòng rủi ro,TÀI SẢN > Dự phòng rủi ro,Dự phòng rủi ro,,-,(196.000),,,-196000.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,1.470.802,-,,1470802.0,
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,1.470.802,-,8.0,1470802.0,
Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,
