row_label_raw,row_label_full,col_0,Dư phòngchungtriệu đồng,Dư phòngcụ themètriệu đồng,Tổng cộngtriệu đồng,numeric__Dư phòngchungtriệu đồng,numeric__Dư phòngcụ themètriệu đồng,numeric__Tổng cộngtriệu đồng
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,1.527.979,1.553.216,3.081.195,1527979.0,1553216.0,3081195.0
Dư phòng rủi ro trích lập trong năm(Thuyết minh số 33),Dư phòng rủi ro trích lập trong năm(Thuyết minh số 33),Dư phòng rủi ro trích lập trong năm(Thuyết minh số 33),207.958,3.105.340,3.313.298,207958.0,3105340.0,3313298.0
Xử lý rủi ro tin dụng trong năm,Xử lý rủi ro tin dụng trong năm,Xử lý rủi ro tin dụng trong năm,-,(3.394.879),(3.394.879),,-3394879.0,-3394879.0
Điều chỉnh theo kết quả kiểm toán nămtrước của chi nhánh nước ngoài,Điều chỉnh theo kết quả kiểm toán nămtrước của chi nhánh nước ngoài,Điều chỉnh theo kết quả kiểm toán nămtrước của chi nhánh nước ngoài,-,4.538,4.538,,4538.0,4538.0
Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,(196),(329),(525),-196.0,-329.0,-525.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,1.735.741,1.267.886,3.003.627,1735741.0,1267886.0,3003627.0
