row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cố phân triệu đồng,Cổ phiếu quỹ triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cố phân triệu đồng,numeric__Cổ phiếu quỹ triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,21.604.514,-,-,1.152.313,2.289.825,375.180,6.783.992,32.205.824,21604514.0,,,1152313.0,2289825.0,375180.0,6783992.0,32205824.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.496.781,7.496.781,,,,,,,7496781.0,7496781.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,282.836,565.672,339.402,(1.187.910),-,,,,282836.0,565672.0,339402.0,-1187910.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(206.533),-,(206.533),,,,,,-206533.0,,-206533.0
Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,-,-,-,-,-,-,(1.268.039),(1.268.039),,,,,,,-1268039.0,-1268039.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,1.690.719,-,-,-,-,-,(1.690.719),-,1690719.0,,,,,,-1690719.0,
Phát hành cổ phiếu thường cho cán bộ nhân viên,Phát hành cổ phiếu thường cho cán bộ nhân viên,Phát hành cổ phiếu thường cho cán bộ nhân viên,432.090,-,-,-,-,-,-,432.090,432090.0,,,,,,,432090.0
Mua lai cổ phiếu quỹ trong năm,Mua lai cổ phiếu quỹ trong năm,Mua lai cổ phiếu quỹ trong năm,-,-,(1.036.712),-,-,-,-,(1.036.712),,,-1036712.0,,,,,-1036712.0
Trích quỹ khen thường,Trích quỹ khen thường,Trích quỹ khen thường,-,-,-,-,-,-,(339.403),(339.403),,,,,,,-339403.0,-339403.0
Điều chỉnh theo bảo cáo kiểm toán tại chi nhánh nước ngoài,Điều chỉnh theo bảo cáo kiểm toán tại chi nhánh nước ngoài,Điều chỉnh theo bảo cáo kiểm toán tại chi nhánh nước ngoài,-,-,-,-,-,1.075,(6.350),(5.275),,,,,,1075.0,-6350.0,-5275.0
Điều chỉnh theo thanh tra thuê,Điều chỉnh theo thanh tra thuê,Điều chỉnh theo thanh tra thuê,-,-,-,-,-,-,(7.196),(7.196),,,,,,,-7196.0,-7196.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,(332),5.410,5.078,,,,,,-332.0,5410.0,5078.0
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,23.727.323,-,(1.036.712),1.435.149,2.855.497,508.792,9.786.566,37.276.615,23727323.0,,-1036712.0,1435149.0,2855497.0,508792.0,9786566.0,37276615.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.840.347,7.840.347,,,,,,,7840347.0,7840347.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,374.839,749.678,337.355,(1.461.872),-,,,,374839.0,749678.0,337355.0,-1461872.0,
Trích quỹ Khen thường phúc lợi,Trích quỹ Khen thường phúc lợi,Trích quỹ Khen thường phúc lợi,-,-,-,-,-,-,(449.807),(449.807),,,,,,,-449807.0,-449807.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,643.106,1.076.816,-,-,-,-,-,1.719.922,643106.0,1076816.0,,,,,,1719922.0
Bản cổ phiếu quỹ trong năm,Bản cổ phiếu quỹ trong năm,Bản cổ phiếu quỹ trong năm,-,100.747,472.315,-,-,-,-,573.062,,100747.0,472315.0,,,,,573062.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,-,(228.414),-,(228.414),,,,,,-228414.0,,-228414.0
Điều chỉnh theo bảo cáo kiểm toán tại chi nhánh nước ngoài,Điều chỉnh theo bảo cáo kiểm toán tại chi nhánh nước ngoài,Điều chỉnh theo bảo cáo kiểm toán tại chi nhánh nước ngoài,-,-,-,-,-,10,8.142,8.152,,,,,,10.0,8142.0,8152.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,3.617.140,-,-,-,-,-,(3.617.140),-,3617140.0,,,,,,-3617140.0,
Biến động khác do chênh lệch tỷ giả,Biến động khác do chênh lệch tỷ giả,Biến động khác do chênh lệch tỷ giả,-,-,-,-,-,(342),(3.492),(3.834),,,,,,-342.0,-3492.0,-3834.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,27.987.569,1.177.563,(564.397),1.809.988,3.605.175,617.401,12.102.744,46.736.043,27987569.0,1177563.0,-564397.0,1809988.0,3605175.0,617401.0,12102744.0,46736043.0
