row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy móc thiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,TSCĐ kháctriệu đồng,Tổng côngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy móc thiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng côngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.284.623,1.168.311,596.818,157.463,3.207.215,1284623.0,1168311.0,596818.0,157463.0,3207215.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,962.765,124.616,582.961,113.169,1.783.511,962765.0,124616.0,582961.0,113169.0,1783511.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(754),(6.991),(16.567),(11.404),(35.716),-754.0,-6991.0,-16567.0,-11404.0,-35716.0
Chênh lệch tỷ giả,Nguyên giá > Chênh lệch tỷ giả,Chênh lệch tỷ giả,(23),(489),(178),(51),(741),-23.0,-489.0,-178.0,-51.0,-741.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.246.611,1.285.447,1.163.034,259.177,4.954.269,2246611.0,1285447.0,1163034.0,259177.0,4954269.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,245.449,960.396,458.599,129.211,1.793.655,245449.0,960396.0,458599.0,129211.0,1793655.0
Chi phi khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phi khấu hao trong năm,Chi phi khấu hao trong năm,65.573,126.703,126.911,18.084,337.271,65573.0,126703.0,126911.0,18084.0,337271.0
Giảm khấu hao trong năm,Giá trị hao mòn luỹ kế > Giảm khấu hao trong năm,Giảm khấu hao trong năm,(754),(6.936),(16.567),(11.404),(35.661),-754.0,-6936.0,-16567.0,-11404.0,-35661.0
Chênh lệch tỷ giả,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giả,Chênh lệch tỷ giả,(13),(383),(169),(47),(612),-13.0,-383.0,-169.0,-47.0,-612.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,310.255,1.079.780,568.774,135.844,2.094.653,310255.0,1079780.0,568774.0,135844.0,2094653.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.039.174,207.915,138.219,28.252,1.413.560,1039174.0,207915.0,138219.0,28252.0,1413560.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.936.356,205.667,594.260,123.333,2.859.616,1936356.0,205667.0,594260.0,123333.0,2859616.0
