row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Nước ngoài,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Nước ngoài,numeric__Loại trừ,numeric__Tổng cộng
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
1. Doanh thu lãi,Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,47.670.880,3.779.439,12.486.594,414.609,(35.130.237),29.221.285,47670880.0,3779439.0,12486594.0,414609.0,-35130237.0,29221285.0
2. Doanh thu từ hoạt động dịch vụ,Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,1.828.747,114.519,621.333,19.984,(314.449),2.270.134,1828747.0,114519.0,621333.0,19984.0,-314449.0,2270134.0
3. Doanh thu từ hoạt động kinh doanh khác,Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,7.685.492,887.532,1.255.301,90.940,(3.544.409),6.374.856,7685492.0,887532.0,1255301.0,90940.0,-3544409.0,6374856.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(37.591.499),(2.646.365),(7.233.684),(250.129),35.130.237,(12.591.440),-37591499.0,-2646365.0,-7233684.0,-250129.0,35130237.0,-12591440.0
2. Chi phí khấu hao TSCĐ,Chi phí > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(472.373),(12.537),(33.850),(8.244),-,(527.004),-472373.0,-12537.0,-33850.0,-8244.0,,-527004.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(9.924.670),(495.728),(2.264.844),(102.155),2.231.297,(10.556.100),-9924670.0,-495728.0,-2264844.0,-102155.0,2231297.0,-10556100.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,9.196.577,1.626.860,4.830.850,165.005,(1.627.561),14.191.731,9196577.0,1626860.0,4830850.0,165005.0,-1627561.0,14191731.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(3.634.279),(1.236.327),(1.177.569),(72.717),1.627.561,(4.493.331),-3634279.0,-1236327.0,-1177569.0,-72717.0,1627561.0,-4493331.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,5.562.298,390.533,3.653.281,92.288,-,9.698.400,5562298.0,390533.0,3653281.0,92288.0,,9698400.0
