row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Năm 2020triệu đồng > Cổ tức đã công bố và đã trả trong năm,Năm 2019triệu đồng > Cổ tức đã công bố và đã trả trong năm,numeric__Năm 2020triệu đồng > Cổ tức đã công bố và đã trả trong năm,numeric__Năm 2019triệu đồng > Cổ tức đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức bằng tiền mặt cho năm 2018: 600đồng/cổ phiếu,Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng tiền mặt cho năm 2018: 600đồng/cổ phiếu,Cổ tức bằng tiền mặt cho năm 2018: 600đồng/cổ phiếu,-,1.268.039,,1268039.0
Cổ tức bằng cổ phiếu cho năm 2019:15%/cổ phiếu (2018: 8%/cổ phiếu),Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng cổ phiếu cho năm 2019:15%/cổ phiếu (2018: 8%/cổ phiếu),Cổ tức bằng cổ phiếu cho năm 2019:15%/cổ phiếu (2018: 8%/cổ phiếu),3.617.140,1.690.719,3617140.0,1690719.0
