row_label_raw,row_label_full,col_0,31/12/2020triêu đồng,31/12/2019triêu đồng,numeric__31/12/2020triêu đồng,numeric__31/12/2019triêu đồng
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",115.493.122,92.691.975,115493122.0,92691975.0
- Tiến gửi không kỳ hạn bằng VND,- Tiến gửi không kỳ hạn bằng VND,- Tiến gửi không kỳ hạn bằng VND,98.271.206,74.411.736,98271206.0,74411736.0
- Tiến gửi không kỳ hạn bằng ngoại tệ,- Tiến gửi không kỳ hạn bằng ngoại tệ,- Tiến gửi không kỳ hạn bằng ngoại tệ,17.221.916,18.280.239,17221916.0,18280239.0
"Tiền,vàng gửi có kỳ hạn","Tiền,vàng gửi có kỳ hạn","Tiền,vàng gửi có kỳ hạn",186.906.017,169.998.106,186906017.0,169998106.0
- Tiến gửi có kỳ hạn bằng VND,- Tiến gửi có kỳ hạn bằng VND,- Tiến gửi có kỳ hạn bằng VND,182.431.324,165.143.274,182431324.0,165143274.0
- Tiến gửi có kỳ hạn bằng ngoại tệ,- Tiến gửi có kỳ hạn bằng ngoại tệ,- Tiến gửi có kỳ hạn bằng ngoại tệ,4.474.693,4.854.832,4474693.0,4854832.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,5.050.536,4.665.862,5050536.0,4665862.0
- Tiến gửi vốn chuyên nhượng bằng VND,- Tiến gửi vốn chuyên nhượng bằng VND,- Tiến gửi vốn chuyên nhượng bằng VND,4.525.570,3.881.000,4525570.0,3881000.0
- Tiến gửi vốn chuyên dùng bằng ngoại tệ,- Tiến gửi vốn chuyên dùng bằng ngoại tệ,- Tiến gửi vốn chuyên dùng bằng ngoại tệ,524.966,784.862,524966.0,784862.0
Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,7.071.204,7.643.830,7071204.0,7643830.0
- Tiến gửi kỳ quỹ bằng VND,- Tiến gửi kỳ quỹ bằng VND,- Tiến gửi kỳ quỹ bằng VND,3.634.400,3.794.136,3634400.0,3794136.0
- Tiến gửi kỳ quỹ bằng ngoại tệ,- Tiến gửi kỳ quỹ bằng ngoại tệ,- Tiến gửi kỳ quỹ bằng ngoại tệ,3.436.804,3.849.694,3436804.0,3849694.0
,,,314.520.879,274.999.773,314520879.0,274999773.0
