row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Bảo hiểm tài sản và vận hành Nhà máy Điện Vũng Áng 1,a. Ngắn hạn > Bảo hiểm tài sản và vận hành Nhà máy Điện Vũng Áng 1,Bảo hiểm tài sản và vận hành Nhà máy Điện Vũng Áng 1,7.825.428.041,32.059.011.649,7825428041.0,32059011649.0
Bảo hiểm tài sản và vận hành Nhà máy Điện Cà Mau,a. Ngắn hạn > Bảo hiểm tài sản và vận hành Nhà máy Điện Cà Mau,Bảo hiểm tài sản và vận hành Nhà máy Điện Cà Mau,9.452.020.932,1.836.722.986,9452020932.0,1836722986.0
Bảo hiểm tài sản và vận hành Nhà máy Điện Nhơn Trạch,a. Ngắn hạn > Bảo hiểm tài sản và vận hành Nhà máy Điện Nhơn Trạch,Bảo hiểm tài sản và vận hành Nhà máy Điện Nhơn Trạch,5.316.753.416,1.281.480.001,5316753416.0,1281480001.0
Chi phí trả trước ngắn hạn khác,a. Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,2.373.998.730,2.624.403.296,2373998730.0,2624403296.0
,,,24.968.201.119,37.801.617.932,24968201119.0,37801617932.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
Chi phí sửa chữa bảo dưỡng Hợp đồng O&M (*),b. Dài hạn > Chi phí sửa chữa bảo dưỡng Hợp đồng O&M (*),Chi phí sửa chữa bảo dưỡng Hợp đồng O&M (*),13.173.284.964,65.866.424.988,13173284964.0,65866424988.0
Tiền thuê đặt,b. Dài hạn > Tiền thuê đặt,Tiền thuê đặt,38.364.418.365,41.613.208.690,38364418365.0,41613208690.0
Chi phí cải tạo văn phòng,b. Dài hạn > Chi phí cải tạo văn phòng,Chi phí cải tạo văn phòng,17.422.385.461,2.354.237.307,17422385461.0,2354237307.0
Chi phí trả trước dài hạn khác,b. Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,41.478.069.506,75.331.739.076,41478069506.0,75331739076.0
,,,110.438.158.296,185.165.610.061,110438158296.0,185165610061.0
